"","extGene","wt.group","ca1a.group","GENENAME","WT","ca1a","b","qval"
"1","A4GALT",3,4,"alpha 1,4-galactosyltransferase (P blood group)",28.5604064068472,13.8692052720779,-0.635672388879467,0.518301045561093
"2","AAED1",4,4,NA,NA,NA,NA,NA
"3","ABCA1",1,6,"ATP binding cassette subfamily A member 1",0.0952457413383516,0.517870761340882,2.30142879447458,0.23079742162406
"4","ABCA3",3,4,"ATP binding cassette subfamily A member 3",3.57578354415414,5.52384315587403,0.563681638311091,0.624135142633119
"5","ABCC12",3,4,"ATP binding cassette subfamily C member 12",0,0,NA,NA
"6","ABCC2",1,6,"ATP binding cassette subfamily C member 2",21.4238131126097,1.32884812492741,-2.59121830270241,0.00660332641154367
"7","ABCC3",4,4,"ATP binding cassette subfamily C member 3",30.7793230211131,235.283309837247,2.53161544351043,0.119032868009752
"8","ABCF1",3,4,"ATP binding cassette subfamily F member 1",59.5620038445501,43.8819036295643,-0.366622363338792,0.379947380808268
"9","ABCG4",4,4,"ATP binding cassette subfamily G member 4",0.0399436462093364,0.0345175899277226,NA,NA
"10","ABHD13",4,4,"abhydrolase domain containing 13",3.33060933710771,2.84056944751157,-0.242819795434013,0.599157780539682
"11","ABHD17C",3,4,"abhydrolase domain containing 17C",16.8572894553096,29.1742329894839,0.658914412703094,0.550519183004989
"12","ABI1",3,4,"abl interactor 1",34.2294074060446,14.5137534728897,-0.908833724566513,0.00988748596129308
"13","ABI3BP",6,6,"ABI family member 3 binding protein",0.288754772760987,0.545986562157871,0.541260202194856,0.500189021849633
"14","ACADVL",4,4,"acyl-CoA dehydrogenase very long chain",263.467044126356,400.171739041435,0.320982005535848,0.225350688697551
"15","ACAP3",4,4,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",28.2335759344134,22.7225764715166,-0.27189025591897,0.538975242852839
"16","ACAT2",6,4,"acetyl-CoA acetyltransferase 2",146.787803440384,16.3019134027633,-2.17375690556374,0.000309882471360602
"17","ACBD6",1,4,"acyl-CoA binding domain containing 6",73.4004348010068,37.2819392006757,-0.775119822296548,0.000323805351988909
"18","ACIN1",3,4,"apoptotic chromatin condensation inducer 1",81.2903582762692,59.9766107859568,-0.399439648040808,0.0929321214759341
"19","ACP1",4,4,"acid phosphatase 1",92.8146880808652,130.943193246606,0.273242159779893,0.489491607673976
"20","ACSL4",3,4,"acyl-CoA synthetase long chain family member 4",48.6463256212603,53.8891850327584,0.0440318040277839,0.940531420693543
