"","extGene","wt.group","ca1a.group","GENENAME","WT","ca1a","b","qval"
"1","ABCC2",1,6,"ATP binding cassette subfamily C member 2",21.4238131126097,1.32884812492741,-2.59121830270241,0.00660332641154367
"2","ABI1",3,4,"abl interactor 1",34.2294074060446,14.5137534728897,-0.908833724566513,0.00988748596129308
"3","ACAT2",6,4,"acetyl-CoA acetyltransferase 2",146.787803440384,16.3019134027633,-2.17375690556374,0.000309882471360602
"4","ACBD6",1,4,"acyl-CoA binding domain containing 6",73.4004348010068,37.2819392006757,-0.775119822296548,0.000323805351988909
"5","ACIN1",3,4,"apoptotic chromatin condensation inducer 1",81.2903582762692,59.9766107859568,-0.399439648040808,0.0929321214759341
"6","ACTR3B",3,4,"actin related protein 3B",7.76812294729166,3.34331534543844,-0.933644222840634,0.0210981255749645
"7","ADAM9",6,4,"ADAM metallopeptidase domain 9",116.345158356299,76.552335376152,-0.513619666297632,0.0244408117902604
"8","ADAT3",1,4,"adenosine deaminase tRNA specific 3",4.36154708717337,1.44032059967546,-1.17023440211104,0.0241416951705838
"9","ADCK2",3,4,"aarF domain containing kinase 2",24.8852127328014,12.1413228386226,-0.806761652557593,0.00155884794788182
"10","ADH5",4,4,"alcohol dehydrogenase 5 (class III), chi polypeptide",141.437100259057,56.3178174690167,-0.983191202087564,0.00093279212050313
"11","ADIPOR1",4,4,"adiponectin receptor 1",254.933070868578,105.682500684256,-0.977108885263067,1.47332885151958e-06
"12","AK1",1,6,"adenylate kinase 1",57.9332606538064,28.4478288952456,-0.792894525190118,0.000184542234444803
"13","ALDH1L2",1,4,"aldehyde dehydrogenase 1 family member L2",18.6851509680861,0.0603768863376404,-5.85107711671582,2.50906288898637e-32
"14","ALKBH3",6,4,"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase",22.5377305611303,13.143861033077,-0.637289678703597,0.0349845899765922
"15","ANKRD2",4,6,"ankyrin repeat domain 2",23.9553201391977,1.8447755248959,-2.42370524482483,0.00332602847474543
"16","APRT",4,4,"adenine phosphoribosyltransferase",414.167151031574,227.264540980469,-0.706663173132351,0.000806221932797128
"17","ARAF",6,4,"A-Raf proto-oncogene, serine/threonine kinase",42.2941846775889,30.0404495159416,-0.43993880887518,0.0945956711063034
"18","ARF5",4,4,"ADP ribosylation factor 5",153.899466536789,94.3439868926759,-0.58727420568797,0.00768028327082718
"19","ARHGAP17",4,4,"Rho GTPase activating protein 17",20.4774081770322,11.2233808360784,-0.697927439852529,0.00614227050161983
"20","ARHGEF11",6,4,"Rho guanine nucleotide exchange factor 11",17.6604522837411,8.14269968682531,-0.86819471175588,5.38854448005442e-05
"21","ARID4B",1,4,"AT-rich interaction domain 4B",22.5321757398959,10.4110422173047,-0.860264863046523,8.51195814605983e-05
"22","ARL5A",1,4,"ADP ribosylation factor like GTPase 5A",34.0132406591302,20.25458181241,-0.610314802837203,0.00696203796652954
"23","ARL9",6,6,"ADP ribosylation factor like GTPase 9",1.80362137506596,0.0382886198970259,-3.32701217063735,4.88420366049061e-05
"24","ARMCX3",4,4,"armadillo repeat containing X-linked 3",1.37490348136427,0,-5.20226878671629,1.69605355194347e-18
"25","ASAP1",4,4,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",25.7334189575306,12.9554301573888,-0.751188845655778,0.0191288799008663
"26","ATG5",1,4,"autophagy related 5",25.3217397037472,16.4231240882092,-0.528175316071769,0.027924884302693
"27","ATP8B2",1,6,"ATPase phospholipid transporting 8B2",2.35806848541927,0.158638858371404,-2.55945011082393,0.000184828907695762
"28","ATXN10",4,4,"ataxin 10",71.1797528098916,50.068813038435,-0.446421201120858,0.0528420257165792
"29","BAG2",4,4,"BCL2 associated athanogene 2",44.0496722913228,7.70872724830145,-1.72016264794838,0.0053019785264044
"30","BAP1",6,4,"BRCA1 associated protein 1",40.7058480374124,27.4664921156882,-0.489381198478718,0.0387078520624483
"31","BASP1",4,4,"brain abundant membrane attached signal protein 1",98.0715393327094,17.6907056402446,-1.80119864783024,2.57266044836952e-19
"32","BCL2L13",4,4,"BCL2 like 13",34.0140628377038,20.3647766703146,-0.589992070394094,0.0068404956442245
"33","BLZF1",3,4,"basic leucine zipper nuclear factor 1",35.1871093594625,18.2628242957848,-0.751865146911339,0.00225526227682941
"34","BMPR2",3,4,"bone morphogenetic protein receptor type 2",9.89472438959865,5.95399609079833,-0.581999410903045,0.0174319349859733
"35","BRMS1L",1,4,"BRMS1 like transcriptional repressor",14.7998316232264,6.92088057159328,-0.85855107623242,0.0117795160401194
"36","BTBD7",3,4,"BTB domain containing 7",10.823795663096,7.54925016231383,-0.455252046125608,0.0633850230960715
"37","BTG3",4,4,"BTG anti-proliferation factor 3",56.5668810476139,33.6655851958252,-0.592898648032069,0.0654884516542038
"38","C19orf47",6,4,"chromosome 19 open reading frame 47",16.4655226508848,9.7362538292497,-0.620254607285835,0.0410709589877322
"39","C8orf82",3,4,"chromosome 8 open reading frame 82",17.9549343969848,5.75614548030338,-1.1290308386629,0.053321525132991
"40","CADM3",3,4,"cell adhesion molecule 3",7.57463783441779,0,-5.82900849492614,0.00019329401354737
"41","CAV2",4,4,"caveolin 2",106.114534556242,47.9891756374963,-0.882151436833152,2.59566509305265e-05
"42","CC2D1B",1,4,"coiled-coil and C2 domain containing 1B",18.6560801139292,12.550718123823,-0.483755517504344,0.0832156210568193
"43","CCBE1",4,4,"collagen and calcium binding EGF domains 1",6.19745897380161,0.246410460881876,-3.11408382382531,0.00013442096700031
"44","CCDC80",6,4,"coiled-coil domain containing 80",39.9465263762676,4.04305762407739,-2.36317667462187,7.01690834596352e-29
"45","CCND2",4,4,"cyclin D2",8.56676010722663,0.0146314336941302,-6.29888933553731,1.17243717418778e-21
"46","CCND3",3,4,"cyclin D3",98.8264808689995,26.9145192584756,-1.37217888136381,3.60169155630507e-07
"47","CCSER2",3,4,"coiled-coil serine rich protein 2",13.0785979166376,7.77473602294545,-0.595246529751578,0.0151630885415155
"48","CD40",6,6,"CD40 molecule",1.33608829321405,0.0507762730192257,-3.46589505476285,0.00255088680002587
"49","CD99L2",3,4,"CD99 molecule like 2",22.7037095294548,8.48925543204993,-1.0657475514255,1.65310703435221e-06
"50","CDC42BPA",6,4,"CDC42 binding protein kinase alpha",18.333646753487,9.46564501581325,-0.755378341760686,0.00031393167383815
"51","CDH24",1,4,"cadherin 24",7.04399080372447,3.48198330826861,-0.794351903918293,0.0204974874887241
"52","CDK17",4,4,"cyclin dependent kinase 17",13.6604168098278,5.94520066114848,-0.906390565426513,0.00017591582333769
"53","CDKN2C",4,4,"cyclin dependent kinase inhibitor 2C",30.6971652318355,8.22849796440919,-1.40321825013809,1.93981942603509e-07
"54","CHFR",3,4,"checkpoint with forkhead and ring finger domains",8.95378697594359,3.36972745877802,-1.07164893333469,0.000743232795834417
"55","CLCA2",1,4,"chloride channel accessory 2",60.3632417755701,6.49105753224243,-2.11353167783139,0.00878750198142171
"56","CLDN23",3,4,"claudin 23",2.48471776037333,0.691230728917422,-1.32628361249798,0.0167322306390023
"57","CLEC2B",6,4,"C-type lectin domain family 2 member B",3.22704957231775,1.00696299584231,-1.14140687057098,0.0616651677863218
"58","CLK4",3,4,"CDC like kinase 4",29.8730039414987,15.2110111725478,-0.715699944120575,0.0962370884846457
"59","CMPK2",3,4,"cytidine/uridine monophosphate kinase 2",0.488766036181,0,-3.08994135420395,1.55714025462902e-05
"60","COL17A1",6,4,"collagen type XVII alpha 1 chain",235.348184612959,30.9663590196789,-1.98121412988357,0.00186463719476713
"61","COL6A1",3,4,"collagen type VI alpha 1 chain",13.2022997901249,2.22413150036752,-1.81056530830936,1.6439072039473e-05
"62","COMMD9",4,4,"COMM domain containing 9",18.2606661563457,6.09366027021481,-1.19197308390893,4.02946361218237e-06
"63","CRK",4,4,"CRK proto-oncogene, adaptor protein",58.7706989181085,38.2796970135006,-0.522790673806988,0.0193338244348539
"64","CRTC2",6,4,"CREB regulated transcription coactivator 2",26.8070519667854,15.6399181439385,-0.636146394983946,0.0114009664023946
"65","CSRP1",6,4,"cysteine and glycine rich protein 1",206.460327113645,93.1400962715193,-0.855672218799943,0.0172334016866079
"66","CTDSP1",4,4,"CTD small phosphatase 1",46.9347274219045,29.4919615805118,-0.557105559787898,0.0131243451397522
"67","CTF1",6,4,"cardiotrophin 1",1.49429188860569,0.174320992865785,-2.08435059828323,0.00471820245812991
"68","CXXC1",1,4,"CXXC finger protein 1",26.4808126646795,11.6927985921002,-0.908028752502907,6.12317059376706e-05
"69","DAAM1",1,6,"dishevelled associated activator of morphogenesis 1",12.1176928078912,4.38279586612406,-1.11219156185687,7.39001302390261e-05
"70","DBN1",6,4,"drebrin 1",64.9066183641209,44.7033239632539,-0.468471410213669,0.0403115278796564
"71","DDB1",3,4,"damage specific DNA binding protein 1",220.007038552431,76.7966190550171,-1.047792573978,0.0716058028876642
"72","DEDD",1,4,"death effector domain containing",36.1862773028044,17.300869268202,-0.83372959839909,0.00021401170563365
"73","DENR",6,4,"density regulated re-initiation and release factor",68.1484434497668,49.1103048957599,-0.414091176533962,0.077690063805005
"74","DIAPH2",3,4,"diaphanous related formin 2",7.5333562129757,4.44904321851185,-0.609463967944306,0.0637534972096526
"75","DIP2B",1,4,"disco interacting protein 2 homolog B",15.6115170149759,9.68251546292756,-0.572401205814122,0.0150388853309625
"76","DLK2",4,4,"delta like non-canonical Notch ligand 2",25.1368469877787,3.78505462693114,-1.80439009000916,0.0176834349676038
"77","DNAAF2",3,4,"dynein axonemal assembly factor 2",11.0987762474849,6.63824057989397,-0.58399852771312,0.0665633036956741
"78","DNAJC11",6,4,"DnaJ heat shock protein family (Hsp40) member C11",48.1410762947811,34.1017467707666,-0.433476316036609,0.0623585267618373
"79","DNM1L",4,4,"dynamin 1 like",47.702764403654,24.5015714659428,-0.742145857602378,0.00303125953703944
"80","DSC3",3,4,"desmocollin 3",44.8805292421416,10.6157096821036,-1.36660127499456,0.0738302952974323
"81","DTX3",1,6,"deltex E3 ubiquitin ligase 3",0.769466624971894,0.0370687032152448,-2.7348513382998,0.00208223154323451
"82","DUOX1",4,4,"dual oxidase 1",10.5957192107835,1.12102749172205,-2.27528615139223,4.22147236428355e-06
"83","DYM",6,4,"dymeclin",27.75521721774,15.5244458165207,-0.677571750849642,0.0076376667476201
"84","DYNC1H1",6,4,"dynein cytoplasmic 1 heavy chain 1",45.0025929483453,28.7357251436423,-0.543077554598073,0.0152078624589255
"85","EDARADD",1,6,"EDAR associated death domain",5.25302614878679,0.465288600499377,-2.27809514368491,0.0080776921104305
"86","EFCAB2",3,4,"EF-hand calcium binding domain 2",13.6540432110307,4.02757677142183,-1.31422780714337,1.17467862534699e-06
"87","EGFR",3,4,"epidermal growth factor receptor",88.3046383510375,25.6067286028439,-1.20418980648378,0.0689580246515749
"88","EGLN1",3,6,"egl-9 family hypoxia inducible factor 1",49.1853037533486,20.5497406545397,-0.956130708018106,2.28482033726823e-06
"89","ELF4",1,4,"E74 like ETS transcription factor 4",19.9552445524007,10.0084135249183,-0.778779147279136,0.00058301001064791
"90","EMP1",1,4,"epithelial membrane protein 1",216.080537721997,76.9244582338732,-1.12180310319619,1.89631874133518e-08
"91","ENAH",3,4,"ENAH actin regulator",38.1808320269343,15.9195050515092,-0.968566772016685,1.91456856472149e-06
"92","ENDOG",6,4,"endonuclease G",27.2334227865426,15.1534163783273,-0.683523269246349,0.0372866692722578
"93","ERI3",3,4,"ERI1 exoribonuclease family member 3",80.3470167394625,43.7093295434038,-0.704765720436236,0.00114132295368552
"94","ETV3",4,4,"ETS variant transcription factor 3",14.0057015639208,7.62366838572187,-0.682939429459201,0.0541012283730371
"95","EVC2",1,6,"EvC ciliary complex subunit 2",1.88352298689967,0,-5.94877542903169,1.56650855079112e-26
"96","EVL",3,6,"Enah/Vasp-like",38.974214294903,18.1108991115325,-0.863407608770517,0.000167373126572934
"97","EXOSC4",3,4,"exosome component 4",72.0043049832193,22.9931777004906,-1.2188689663266,3.24642148771746e-05
"98","EXT1",3,4,"exostosin glycosyltransferase 1",34.9219611843475,23.6581848465633,-0.478248088811346,0.0378462099445102
"99","F2R",1,4,"coagulation factor II thrombin receptor",12.6601436058777,1.67463566868069,-1.80243068186755,0.0951885799216218
"100","FADS2",1,4,"fatty acid desaturase 2",106.114686875444,5.43680332498131,-3.05469167048726,5.30568348338962e-56
"101","FAM114A2",6,4,"family with sequence similarity 114 member A2",17.3082175924132,11.1688003415712,-0.532453127139509,0.0488329216012229
"102","FAM168B",3,4,"family with sequence similarity 168 member B",58.29330342731,39.5633433149627,-0.480267527801846,0.0358323674780019
"103","FAM53A",1,4,"family with sequence similarity 53 member A",1.68298161307093,0.621570003577514,-1.08287975359653,0.0570691370284955
"104","FAM89A",4,4,"family with sequence similarity 89 member A",22.3023607494819,11.1862585285684,-0.751346687601972,0.0404928781561719
"105","FASTK",6,4,"Fas activated serine/threonine kinase",44.7133759259024,27.3439871663451,-0.588974805087008,0.0131340656717133
"106","FASTKD1",6,4,"FAST kinase domains 1",32.7572961308502,23.6619497422626,-0.419839294628985,0.0832092777599951
"107","FBXO21",3,4,"F-box protein 21",22.3010387922764,13.4686563271198,-0.59557616974363,0.00870512723923745
"108","FBXO28",3,4,"F-box protein 28",38.2709360122627,11.071862891491,-1.33008753599603,1.00564983273912e-11
"109","FBXO31",4,4,"F-box protein 31",12.4855186275709,8.04541094583179,-0.519719427923953,0.0634930378713524
"110","FDPS",1,4,"farnesyl diphosphate synthase",709.31690437923,183.214216698907,-1.36952102358985,0.0087569727192051
"111","FECH",1,4,"ferrochelatase",11.3073769643654,5.07788687729878,-0.887689983361363,6.90471986429766e-05
"112","FER",6,4,"FER tyrosine kinase",11.6685605708803,4.38882548583838,-1.07865721516463,0.00664199649254953
"113","FERMT2",1,4,"fermitin family member 2",22.6779035456931,8.63451541402568,-1.06006019092867,3.94152005749898e-06
"114","FKBP9",1,4,"FKBP prolyl isomerase 9",72.2257312228579,45.1042859849398,-0.568289973590762,0.0147776820461784
"115","FLG",4,4,"filaggrin",0.310235403709277,0.0172348226782307,-2.41912838581506,0.0706484152526757
