"","extGene","wt.group","tgfb.group","GENENAME","WT","tgfb","b","qval"
"1","A2ML1",1,7,"alpha-2-macroglobulin like 1",0.154854191212913,0.0763571237757495,NA,NA
"2","A4GALT",3,7,"alpha 1,4-galactosyltransferase (P blood group)",10.5520620236539,12.3505771161893,0.127403674113731,0.544482580291745
"3","ABCA1",1,7,"ATP binding cassette subfamily A member 1",0.0193976897380122,0.10424727207117,1.45148007545626,0.0198663497445808
"4","ABCA6",1,7,"ATP binding cassette subfamily A member 6",0.295962974225192,0.196643579419444,-0.48061081386866,0.388558422215653
"5","ABCC1",4,7,"ATP binding cassette subfamily C member 1",34.4599974421001,31.5043377107777,-0.124380453062425,0.460772206149601
"6","ABCC11",3,5,"ATP binding cassette subfamily C member 11",0.122130258595427,0.188876798475149,NA,NA
"7","ABCC12",3,5,"ATP binding cassette subfamily C member 12",0,0,NA,NA
"8","ABCC2",1,5,"ATP binding cassette subfamily C member 2",6.82936105894614,1.00397942905552,-1.87174632182773,7.35707976622826e-10
"9","ABCF3",1,7,"ATP binding cassette subfamily F member 3",38.5383850002259,32.6473249702172,-0.198606729464661,0.275884390900488
"10","ABCG1",6,7,"ATP binding cassette subfamily G member 1",0.801858358182301,0.605959010003029,-0.285921220516261,0.467177432607081
"11","ABCG4",4,7,"ATP binding cassette subfamily G member 4",0.0358173935742785,0.142787594489504,NA,NA
"12","ABCG5",3,7,"ATP binding cassette subfamily G member 5",0.0140401018903005,0.103736241415215,NA,NA
"13","ABHD14A",4,7,"abhydrolase domain containing 14A",10.8478960440623,11.6561861058363,0.074095844911871,0.841995404975372
"14","ABHD17C",3,7,"abhydrolase domain containing 17C",32.8785726398748,11.3497175609066,-1.10698995156952,2.57237384461423e-18
"15","ABI3BP",6,7,"ABI family member 3 binding protein",0.276068136116746,1.12933698669482,1.31667213776795,1.82970229755914e-05
"16","ACADVL",4,7,"acyl-CoA dehydrogenase very long chain",280.65000794117,384.249366534684,0.277882136369049,0.0626427640778765
"17","ACAP3",4,7,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",20.9105829227704,33.1019884965127,0.419154245178151,0.00284285343238834
"18","ACIN1",3,7,"apoptotic chromatin condensation inducer 1",99.8991344594103,76.4175568781944,-0.309985830638894,0.0105376623261602
"19","ACP2",6,7,"acid phosphatase 2, lysosomal",22.5453627181285,22.9955632106917,-0.0104628170735495,0.966476930340256
"20","ACSM1",6,5,"acyl-CoA synthetase medium chain family member 1",0,0.0899916626582345,NA,NA
"21","ACSS1",1,7,"acyl-CoA synthetase short chain family member 1",0.532619071803697,0.936661559272727,0.601369435229976,0.192923820136866
"22","ACTR3",6,7,"actin related protein 3",93.4326813383847,115.450929855732,0.169468395644734,0.204233392569853
"23","ACTR3C",3,7,"actin related protein 3C",0.980633527061011,0.77633563288219,-0.282550850806451,0.553307314021282
"24","ACTR6",3,7,"actin related protein 6",20.3875174196463,15.6172414307767,-0.312127757564421,0.0341389762415643
"25","ACTRT3",4,7,"actin related protein T3",5.50882273668199,5.26398080118297,-0.0951907091641078,0.640198954917246
"26","ACVR1",6,7,"activin A receptor type 1",10.9383747003757,19.6824189532117,0.549313013229449,4.70290692858363e-05
"27","ACVR2A",1,7,"activin A receptor type 2A",2.40195763217138,2.19034833928956,-0.135142482262313,0.485479024860166
"28","ADA",3,7,"adenosine deaminase",18.707421067323,13.0349901648831,-0.397954910330747,0.00909202651198504
"29","ADAD2",3,7,"adenosine deaminase domain containing 2",0,0,NA,NA
"30","ADAM10",6,7,"ADAM metallopeptidase domain 10",32.0004386086576,61.4244831120362,0.678248329117253,0.0299184281433769
"31","ADAM12",4,7,"ADAM metallopeptidase domain 12",4.23897346006289,12.1596209619342,1.08769529991763,0.000724727798159509
"32","ADAM32",1,7,"ADAM metallopeptidase domain 32",0.312446178580918,0.257850488282808,-0.268183073590344,0.65938350443412
"33","ADAM9",6,7,"ADAM metallopeptidase domain 9",97.3770710934703,165.624450681061,0.517983021232508,0.006455694746489
"34","ADAMTS19",1,7,"ADAM metallopeptidase with thrombospondin type 1 motif 19",0.0726081731156629,0,NA,NA
"35","ADAMTSL4",6,7,"ADAMTS like 4",4.33792119842085,2.36136254848989,-0.664004668804591,0.00029111692698462
"36","ADAT3",1,5,"adenosine deaminase tRNA specific 3",9.83629615741506,3.5390518332443,-1.0461982190278,0.000260261570113357
"37","ADCK2",3,7,"aarF domain containing kinase 2",29.9078650707617,23.3150254985201,-0.277533362949828,0.185689680572011
"38","ADCK4",1,7,NA,NA,NA,NA,NA
"39","ADCY10",4,7,"adenylate cyclase 10",0.0615389876597419,0.0300735807710172,NA,NA
"40","ADD1",4,7,"adducin 1",78.4761888802967,98.9155293330575,0.18616503522884,0.150411232414398
"41","ADH1C",3,7,"alcohol dehydrogenase 1C (class I), gamma polypeptide",0,0,NA,NA
"42","ADH5",4,7,"alcohol dehydrogenase 5 (class III), chi polypeptide",103.309490217812,94.4149807649079,-0.134226928241046,0.322355092023962
"43","ADIRF",4,7,"adipogenesis regulatory factor",76.8510028239477,11.3313094701245,-1.91839733252559,1.01532307690739e-13
"44","ADO",1,7,"2-aminoethanethiol dioxygenase",14.4748429068956,15.65469658838,0.0347841176281317,0.843036073777544
"45","ADPGK-AS1",1,7,"ADPGK antisense RNA 1",0.0751740313098598,0.0513512958120517,NA,NA
"46","ADRA1B",6,7,"adrenoceptor alpha 1B",0.330716771781887,0.269233481968323,-0.272422514534348,0.636391855933648
"47","AEN",4,7,"apoptosis enhancing nuclease",31.58002301212,28.764377826972,-0.137582860419925,0.367891591071227
"48","AFF1",4,7,"AF4/FMR2 family member 1",27.9178753087326,65.4847222742216,0.9450338938081,0.0530420328953124
"49","AFG3L2",3,7,"AFG3 like matrix AAA peptidase subunit 2",89.126690223219,56.1532406596625,-0.50702613233348,1.07648109020643e-05
"50","AFMID",6,7,"arylformamidase",22.8732421470197,14.3457315968931,-0.50799454419325,0.000742716030420126
"51","AGBL2",1,7,"ATP/GTP binding protein like 2",0.0265101450447569,0.117761077435595,NA,NA
"52","AGT",6,7,"angiotensinogen",0,0.0678503594939698,NA,NA
"53","AGTPBP1",1,7,"ATP/GTP binding protein 1",7.836517233755,7.32265845866876,-0.101528805418615,0.554096896173891
"54","AHDC1",4,7,"AT-hook DNA binding motif containing 1",7.9781340184488,12.2458889675868,0.38131802963511,0.01578745391483
"55","AHI1",4,7,"Abelson helper integration site 1",5.36749629622986,6.77550587991962,0.231153578733853,0.375892992204224
"56","AHNAK2",1,7,"AHNAK nucleoprotein 2",2.47610685160601,30.1254458638541,2.71589979288556,1.60157912918678e-05
"57","AHSG",3,5,"alpha 2-HS glycoprotein",0.0855876291666441,0.0594803077890475,NA,NA
"58","AK8",4,7,"adenylate kinase 8",0.112309092052617,0.0690278532121649,NA,NA
"59","AKAP1",4,7,"A-kinase anchoring protein 1",45.1004142653757,26.7905639742214,-0.554353735240949,3.30281476481531e-06
"60","AKAP13",6,7,"A-kinase anchoring protein 13",6.13866485693628,8.57005653489753,0.318263927929289,0.147036044383794
"61","AKTIP",3,7,"AKT interacting protein",11.4481772354675,15.6297659569251,0.262858535333279,0.0890793949402933
"62","ALAS2",3,7,"5'-aminolevulinate synthase 2",0.0420107329285891,0.01353522788255,NA,NA
"63","ALDH1A3",6,7,"aldehyde dehydrogenase 1 family member A3",45.000899079731,20.7706385841889,-0.804107551847575,1.1927533316617e-11
"64","ALDH3B2",1,7,"aldehyde dehydrogenase 3 family member B2",0.0536904016710897,0.0398166547002688,NA,NA
