"","extGene","wt.group","tgfb.group","GENENAME","WT","tgfb","b","qval"
"1","ABCC2",1,5,"ATP binding cassette subfamily C member 2",6.82936105894614,1.00397942905552,-1.87174632182773,7.35707976622826e-10
"2","ABHD17C",3,7,"abhydrolase domain containing 17C",32.8785726398748,11.3497175609066,-1.10698995156952,2.57237384461423e-18
"3","ACIN1",3,7,"apoptotic chromatin condensation inducer 1",99.8991344594103,76.4175568781944,-0.309985830638894,0.0105376623261602
"4","ACTR6",3,7,"actin related protein 6",20.3875174196463,15.6172414307767,-0.312127757564421,0.0341389762415643
"5","ADA",3,7,"adenosine deaminase",18.707421067323,13.0349901648831,-0.397954910330747,0.00909202651198504
"6","ADAMTSL4",6,7,"ADAMTS like 4",4.33792119842085,2.36136254848989,-0.664004668804591,0.00029111692698462
"7","ADAT3",1,5,"adenosine deaminase tRNA specific 3",9.83629615741506,3.5390518332443,-1.0461982190278,0.000260261570113357
"8","ADIRF",4,7,"adipogenesis regulatory factor",76.8510028239477,11.3313094701245,-1.91839733252559,1.01532307690739e-13
"9","AFG3L2",3,7,"AFG3 like matrix AAA peptidase subunit 2",89.126690223219,56.1532406596625,-0.50702613233348,1.07648109020643e-05
"10","AFMID",6,7,"arylformamidase",22.8732421470197,14.3457315968931,-0.50799454419325,0.000742716030420126
"11","AKAP1",4,7,"A-kinase anchoring protein 1",45.1004142653757,26.7905639742214,-0.554353735240949,3.30281476481531e-06
"12","ALDH1A3",6,7,"aldehyde dehydrogenase 1 family member A3",45.000899079731,20.7706385841889,-0.804107551847575,1.1927533316617e-11
"13","ALG8",1,7,"ALG8 alpha-1,3-glucosyltransferase",78.2845466155076,57.086110021608,-0.360828060304607,0.00478747963673319
"14","ALPP",3,7,"alkaline phosphatase, placental",0.534722714433409,0.242795310503212,-0.80856578754042,0.0566919012204137
"15","ALYREF",4,7,"Aly/REF export factor",228.576676679247,124.995096288778,-0.622759797172447,0.00455697022399379
"16","ANGPT1",6,7,"angiopoietin 1",0.445728461461712,0.225463431645433,-0.695794327138547,0.0676779972690694
"17","ANKRD13B",3,7,"ankyrin repeat domain 13B",13.0428818087749,5.0071090279344,-1.0006180841,3.65442989778652e-13
"18","ANKRD2",4,7,"ankyrin repeat domain 2",5.10415001310767,3.37252200154091,-0.454246813968861,0.0314259513464227
"19","ARMC7",6,7,"armadillo repeat containing 7",10.9227446069235,6.37107442441753,-0.567012908256583,0.00153208721253818
"20","ARRB1",4,7,"arrestin beta 1",1.97676867273221,1.50859870641848,-0.321598942236549,0.0671328923288845
"21","ASF1B",4,7,"anti-silencing function 1B histone chaperone",79.6810639767183,45.4276476266693,-0.601692469769482,6.8928143369891e-07
"22","ATXN7L2",6,7,"ataxin 7 like 2",6.61673357017548,4.06625915278979,-0.531038207956472,0.00112255032035066
"23","AUP1",1,5,"AUP1 lipid droplet regulating VLDL assembly factor",182.046218081124,125.217171164517,-0.397064072971563,0.0694918314126876
"24","BAG2",4,7,"BCL2 associated athanogene 2",59.7949422086577,31.8617930961532,-0.675146008931834,4.94759373704776e-08
"25","BCCIP",4,7,"BRCA2 and CDKN1A interacting protein",214.518550693179,123.838594006548,-0.585337716377107,4.43044741963471e-05
"26","BCL3",3,7,"BCL3 transcription coactivator",12.6116220886562,7.10869591833561,-0.625951899638319,6.25490661823584e-05
"27","BIK",3,7,"BCL2 interacting killer",16.1157179050821,6.66507783081879,-0.899786583621091,0.000102288633444641
"28","BUD13",3,7,"BUD13 homolog",23.9906348727091,18.4320316479497,-0.308627014925152,0.0314068696853783
