"","extGene","wt.group","ca1a.group","GENENAME","WT","ca1a","b","qval"
"1","A2M",7,7,"alpha-2-macroglobulin",0.0818765850122385,0.0105610817422946,NA,NA
"2","AACS",7,1,"acetoacetyl-CoA synthetase",31.5262411121504,27.0247069713738,-0.249199363815265,0.36253356733036
"3","AADACL3",5,3,"arylacetamide deacetylase like 3",0.00808606186600345,0.0197801445639545,NA,NA
"4","AAMP",7,7,"angio associated migratory cell protein",123.244493894792,85.5745748899412,-0.460790906499769,0.0438442060123367
"5","AARS2",7,7,"alanyl-tRNA synthetase 2, mitochondrial",7.15767370903292,9.07661821608027,0.189271516403377,0.747316284145618
"6","ABCA7",5,7,"ATP binding cassette subfamily A member 7",10.9778638497355,14.188428229479,0.166321673234981,0.711914754582478
"7","ABCA9",7,7,"ATP binding cassette subfamily A member 9",0.710219668992497,0.824446389872177,0.0569430666570764,0.949999526741429
"8","ABCB9",7,3,"ATP binding cassette subfamily B member 9",2.78159408982674,7.74573774875126,0.955270583611606,0.0123232757623105
"9","ABCC4",7,3,"ATP binding cassette subfamily C member 4",7.09916842159571,2.70999710555943,-0.988592073394052,0.0924803292351078
"10","ABCE1",7,1,"ATP binding cassette subfamily E member 1",91.3792265698165,62.1692330133306,-0.410545868275351,0.509274081879611
"11","ABHD1",7,3,"abhydrolase domain containing 1",0.056997902565051,0.727015605261508,NA,NA
"12","ABHD10",7,7,"abhydrolase domain containing 10",19.3922212706894,29.1785632367886,0.325461257285344,0.227171914340807
"13","ABHD4",7,3,"abhydrolase domain containing 4",14.0230440496838,8.7798836414229,-0.281236156248233,0.851361480497208
"14","ACADM",7,7,"acyl-CoA dehydrogenase medium chain",63.8202941658879,57.1841452961388,-0.184036802616066,0.575353230307986
"15","ACOT8",7,3,"acyl-CoA thioesterase 8",17.2096696012824,27.1360240436115,0.35712089882773,0.227084468281151
"16","ACOX3",7,3,"acyl-CoA oxidase 3, pristanoyl",18.7031232661023,7.62802560182519,-0.972787444691112,0.000129789262946262
"17","ACSL1",7,3,"acyl-CoA synthetase long chain family member 1",186.101147901648,146.852654353888,0.0764072383368659,0.970066248469995
"18","ACTL10",7,1,"actin like 10",2.13204072311772,1.58804001075328,-0.311671077003811,0.670830301098376
"19","ACTN3",5,1,"actinin alpha 3 (gene/pseudogene)",0,0.057617371475652,NA,NA
"20","ACTR1B",7,3,"actin related protein 1B",35.9057301846572,44.950374325713,0.130044375822594,0.682899597862289
