"","extGene","wt.group","tgfb.group","GENENAME","WT","tgfb","b","qval"
"1","AACS",7,2,"acetoacetyl-CoA synthetase",28.3142341250323,39.6408061107246,0.292196730308594,0.0266770292664326
"2","AADACL4",7,1,"arylacetamide deacetylase like 4",0,0,NA,NA
"3","AAK1",7,6,"AP2 associated kinase 1",3.0284333345559,8.60589744550713,1.10419000886747,0.00454133036774435
"4","ABCA7",5,1,"ATP binding cassette subfamily A member 7",6.59010052499526,10.9862501313626,0.473894566212084,0.0088453048395804
"5","ABCB10",7,2,"ATP binding cassette subfamily B member 10",45.0567912021047,38.4537839688744,-0.195633185367592,0.140213671491211
"6","ABCB9",7,6,"ATP binding cassette subfamily B member 9",2.31328298657685,2.32678008727551,-0.0278426211328498,0.91918593812399
"7","ABCC4",7,6,"ATP binding cassette subfamily C member 4",11.6686361078183,11.5613818692475,-0.0549828547653826,0.769667659320472
"8","ABCC5-AS1",7,2,"ABCC5 antisense RNA 1",0,0.0937018856102854,NA,NA
"9","ABCC6",5,6,"ATP binding cassette subfamily C member 6",0.0613106401935034,0.0178146980926744,NA,NA
"10","ABHD10",7,2,"abhydrolase domain containing 10",24.5144381909126,21.0985012285014,-0.195643415847346,0.184076245444123
"11","ABHD4",7,2,"abhydrolase domain containing 4",4.23392507474319,4.29788259046728,-0.0267609171115827,0.915943914066492
"12","ABLIM2",7,6,"actin binding LIM protein family member 2",0.25895286936226,0.557552378273995,0.706227719373636,0.278093368099801
"13","ABRA",5,2,"actin binding Rho activating protein",0.0282205091087875,0.041608901308465,NA,NA
"14","ACADM",7,1,"acyl-CoA dehydrogenase medium chain",46.8511545800971,39.3907906897266,-0.213420733903135,0.127069773993989
"15","ACOT2",7,2,"acyl-CoA thioesterase 2",16.4881746064885,13.9186088071966,-0.205942308897968,0.205218560173662
"16","ACSF3",7,2,"acyl-CoA synthetase family member 3",13.3700485602116,9.80985975374533,-0.341549944901643,0.0870465538167306
"17","ACTL10",7,1,"actin like 10",4.18056276001627,3.22268091069984,-0.291352493201803,0.152037906029872
"18","ACTN3",5,1,"actinin alpha 3 (gene/pseudogene)",0.00926611318711674,0.0188859833591651,NA,NA
"19","ADAM17",7,1,"ADAM metallopeptidase domain 17",18.3633193085568,22.1018877906975,0.183697743697618,0.492569829535414
"20","ADAM19",7,2,"ADAM metallopeptidase domain 19",3.54522141024536,38.7268487713575,2.4529124245032,2.33800404123357e-12
"21","ADAM30",5,1,"ADAM metallopeptidase domain 30",0,0,NA,NA
"22","ADAMTS1",7,6,"ADAM metallopeptidase with thrombospondin type 1 motif 1",0.25949847937105,3.62622712438928,2.56893941356445,8.85181621546821e-34
"23","ADAMTS13",5,2,"ADAM metallopeptidase with thrombospondin type 1 motif 13",0.470689806797679,0.799958017422498,0.580069714607873,0.20838660151729
"24","ADAMTS5",7,6,"ADAM metallopeptidase with thrombospondin type 1 motif 5",0.00271093782186807,0.0226951248885795,NA,NA
"25","ADAMTS7",7,6,"ADAM metallopeptidase with thrombospondin type 1 motif 7",3.22027865078305,5.48461440418149,0.486843622578569,0.00244631794391684
"26","ADCY3",7,6,"adenylate cyclase 3",36.9771105830478,34.0143157341453,-0.12802207918404,0.36279886642655
"27","ADH1B",7,6,"alcohol dehydrogenase 1B (class I), beta polypeptide",0.0109056627454035,0.0780666476996023,NA,NA
"28","ADH6",7,1,"alcohol dehydrogenase 6 (class V)",0.233909073143798,0.411076963853559,0.544899311582206,0.453864305845794
"29","ADH7",5,2,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",0,0.0130099732767443,NA,NA
"30","ADI1",7,6,"acireductone dioxygenase 1",141.753364828932,98.7335064163688,-0.400418059894788,0.00158511246171286
"31","ADORA2B",7,1,"adenosine A2b receptor",24.7482635001668,9.5025917627127,-1.00314897730262,1.1493081364947e-13
"32","ADPGK",7,6,"ADP dependent glucokinase",44.0467361614029,47.3476687028429,0.0271543675318316,0.870928708268847
"33","ADPRM",7,2,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",7.16695826313284,7.40813548311842,-0.00637492666468602,0.981753741306099
"34","AFAP1",7,6,"actin filament associated protein 1",11.9405250453186,21.9223750191216,0.619019916843098,0.0232502810985759
"35","AFAP1-AS1",7,6,"AFAP1 antisense RNA 1",0.125710704413619,0.17938677652038,0.253017649905126,0.604040056641982
"36","AGA",7,6,"aspartylglucosaminidase",10.7512720422983,11.7323252671681,0.0385468609063276,0.843036073777544
"37","AGBL4",5,2,"ATP/GTP binding protein like 4",0.0601535409419046,0.1744404027389,NA,NA
"38","AGBL5",7,2,"ATP/GTP binding protein like 5",12.5905740164954,9.93936310483452,-0.285991252518305,0.0626104818337686
"39","AGK",7,1,"acylglycerol kinase",19.8523977835249,18.1850939674426,-0.126702977656752,0.452635079640849
"40","AGO1",7,1,"argonaute RISC component 1",6.86173783723592,7.87441542540821,0.127197195468131,0.617261006125165
"41","AGO4",7,6,"argonaute RISC component 4",2.97953847193964,4.9699404580117,0.529546537606138,0.0785441112508924
"42","AGPAT4-IT1",5,2,"AGPAT4 intronic transcript 1",0.225527408465918,0.364579095470141,0.40458718527285,0.590000773788614
"43","AGXT2L2",7,2,NA,NA,NA,NA,NA
"44","AHCYL2",7,6,"adenosylhomocysteinase like 2",4.42392485156872,7.7132993089248,0.552339679763907,0.0217604955951635
"45","AICDA",7,2,"activation induced cytidine deaminase",0.161283077657685,0.139773687789462,0.00264976934548736,0.997971743496769
"46","AIDA",7,1,"axin interactor, dorsalization associated",118.940594858195,214.89218328261,0.548008292861193,1.69824138280396e-06
