"","extGene","wt.group","tgfb.group","shZ.group","CA1a.group"
"1","A1BG",7,5,1,6
"2","A1BG-AS1",7,4,4,6
"3","A1CF",2,6,6,2
"4","A2M",2,6,7,5
"5","A2M-AS1",6,3,1,7
"6","A2ML1",2,6,4,4
"7","A2MP1",2,6,6,5
"8","A4GALT",7,5,7,5
"9","A4GNT",2,6,5,2
"10","AA06",2,6,7,2
"11","AAAS",5,3,3,4
"12","AACS",1,4,6,1
"13","AADAC",2,6,6,2
"14","AADACL2",2,6,6,2
"15","AADACL3",5,7,7,7
"16","AADACL4",5,3,6,5
"17","AADAT",6,1,1,6
"18","AAED1",5,3,6,3
"19","AAGAB",6,2,7,3
"20","AAK1",7,3,5,3
"21","AAMDC",6,2,4,7
"22","AAMP",4,7,2,7
"23","AANAT",6,4,7,3
"24","AAR2",7,7,5,4
"25","AARD",4,7,4,7
"26","AARS",3,1,7,4
"27","AARS2",4,6,1,4
"28","AASDH",4,1,7,5
"29","AASDHPPT",6,7,5,7
"30","AASS",4,7,1,4
"31","AATF",6,3,6,3
"32","AATK",5,4,6,5
"33","ABAT",4,3,5,7
"34","ABCA1",5,5,7,5
"35","ABCA10",3,6,7,5
"36","ABCA12",5,4,5,5
"37","ABCA13",3,6,6,2
"38","ABCA17P",1,4,6,5
"39","ABCA2",5,4,6,6
"40","ABCA3",7,4,6,5
"41","ABCA4",3,6,6,5
"42","ABCA6",5,4,1,2
"43","ABCA7",4,7,2,7
"44","ABCA8",2,6,6,4
"45","ABCA9",2,6,6,5
"46","ABCB1",2,6,3,5
"47","ABCB10",7,5,7,6
"48","ABCB11",2,6,5,2
"49","ABCB4",5,4,4,5
"50","ABCB5",2,6,6,2
"51","ABCB7",1,1,1,5
"52","ABCB8",5,7,7,4
"53","ABCB9",6,4,3,7
"54","ABCC1",5,2,3,6
"55","ABCC10",1,1,3,1
"56","ABCC11",2,6,4,5
"57","ABCC12",5,4,4,5
"58","ABCC13",3,4,5,7
"59","ABCC2",2,6,4,2
"60","ABCC3",6,3,6,3
"61","ABCC4",7,2,3,5
"62","ABCC5",6,2,3,7
"63","ABCC5-AS1",5,6,1,2
"64","ABCC6",5,4,3,6
"65","ABCC6P1",5,4,6,5
"66","ABCC6P2",5,4,6,5
"67","ABCC8",7,4,6,6
"68","ABCC9",2,6,7,2
"69","ABCD1",5,4,6,5
"70","ABCD2",5,1,4,4
"71","ABCD3",6,5,3,3
"72","ABCD4",1,1,2,4
"73","ABCE1",3,4,3,3
"74","ABCF1",1,5,7,7
"75","ABCF2",7,5,7,6
"76","ABCF3",1,2,4,7
"77","ABCG1",4,1,2,6
"78","ABCG2",7,2,7,6
"79","ABCG4",5,4,1,5
"80","ABCG5",7,6,4,5
"81","ABCG8",7,4,7,5
"82","ABHD1",4,3,5,1
"83","ABHD10",1,7,6,1
"84","ABHD11",6,7,7,6
"85","ABHD12",5,6,6,3
"86","ABHD12B",3,4,6,5
"87","ABHD13",5,4,7,3
"88","ABHD14A",6,5,1,3
"89","ABHD14B",6,3,1,3
"90","ABHD15",5,4,6,5
"91","ABHD16A",4,7,4,1
"92","ABHD16B",6,4,3,6
"93","ABHD17A",5,4,3,5
"94","ABHD17B",7,5,7,7
"95","ABHD17C",5,4,6,5
"96","ABHD2",6,3,6,3
"97","ABHD3",4,2,1,7
"98","ABHD4",1,3,4,7
"99","ABHD5",6,2,3,6
"100","ABHD6",4,7,7,3
"101","ABHD8",6,3,3,1
"102","ABI1",1,1,5,7
"103","ABI2",7,3,3,3
"104","ABI3",5,3,3,5
"105","ABI3BP",2,6,6,5
"106","ABL1",7,2,5,3
"107","ABL2",2,4,1,2
"108","ABLIM1",3,1,6,2
"109","ABLIM2",7,4,6,5
"110","ABLIM3",1,7,2,3
"111","ABO",5,4,6,5
"112","ABP1",1,1,4,1
"113","ABR",5,4,6,5
"114","ABRA",3,1,6,5
"115","ABRACL",4,7,5,3
"116","ABT1",4,7,3,4
"117","ABTB1",5,4,6,5
"118","ABTB2",1,5,4,1
"119","ACAA1",7,2,2,6
"120","ACAA2",6,2,3,3
"121","ACACA",1,7,1,7
"122","ACACB",7,6,6,4
"123","ACAD10",7,5,5,7
"124","ACAD8",5,4,1,5
"125","ACAD9",1,5,6,4
"126","ACADL",3,4,6,5
"127","ACADM",1,7,3,1
"128","ACADS",1,1,3,1
"129","ACADSB",1,5,2,3
"130","ACADVL",1,5,7,6
"131","ACAN",5,4,6,5
"132","ACAP1",5,3,3,5
"133","ACAP2",5,4,3,5
"134","ACAP3",7,5,7,6
"135","ACAT1",1,3,3,1
"136","ACAT2",1,7,1,6
"137","ACBD3",6,5,3,6
"138","ACBD4",1,1,6,2
"139","ACBD6",1,7,5,7
"140","ACBD7",5,4,6,3
"141","ACCS",4,7,1,1
"142","ACCSL",2,6,6,2
"143","ACD",1,7,1,7
"144","ACE",5,4,6,5
"145","ACE2",2,4,6,2
"146","ACER2",1,3,2,1
"147","ACER3",1,1,1,7
"148","ACHE",6,4,7,5
"149","ACIN1",5,2,7,5
"150","ACLY",7,7,7,6
"151","ACMSD",2,6,6,2
"152","ACN9",2,6,7,5
"153","ACO1",1,3,1,6
"154","ACO2",1,1,2,1
"155","ACOT11",6,4,2,7
"156","ACOT12",6,6,6,2
"157","ACOT13",6,2,3,6
"158","ACOT2",1,7,5,1
"159","ACOT4",5,4,6,5
"160","ACOT6",5,4,5,5
"161","ACOT7",6,3,6,3
"162","ACOT8",7,1,1,4
"163","ACOT9",6,7,5,7
"164","ACOX1",6,2,2,1
"165","ACOX2",5,4,1,5
"166","ACOX3",4,7,3,3
"167","ACOXL",5,4,6,5
"168","ACP1",6,2,6,3
"169","ACP2",7,7,4,4
"170","ACP5",5,4,3,3
"171","ACP6",1,7,4,6
"172","ACPL2",6,2,2,6
"173","ACPP",5,4,6,5
"174","ACPT",5,4,6,4
"175","ACR",4,5,7,6
"176","ACRBP",5,4,4,5
"177","ACRC",2,6,6,2
"178","ACRV1",2,4,6,5
"179","ACSBG1",5,1,1,3
