"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","AACS",0.781701201562617,0.880877655166276,-0.0160808558802226,0.0580321026083251,7.2021393595898,0.00411884809752379,0.000582263649378089,0.00446932375033666,0.00232771419339371,0.00446932375033666
"2","AATF",0.0908092268513083,0.20928285651313,0.0660306133457608,0.039044929170954,7.94124652658698,0.00181566380304117,0.000367262387737413,0.000267301654007445,0.00191949735320981,0.00191949735320981
"3","ABCA17P",0.811412714262477,0.899767913315527,0.078258288811849,0.327984067435,2.57804392514924,0.130925566119775,0.0662692963755635,0.0950910263612464,0.0628005169346365,0.0950910263612464
"4","ABCA3",0.741452321308657,0.854616902222386,0.0585823571858458,0.177559578750995,4.64918734091809,0.038834537613086,0.0363121154194431,0.0109440968818711,0.0109789905899031,0.0109789905899031
"5","ABCC3",0.0326556976248832,0.0955382107938894,0.0878679704759636,0.0411310857280191,7.71362805632936,0.0043463535264682,0.000354128589956779,0.00218352072979171,0.00199926297650504,0.00218352072979171
"6","ABHD10",0.0679938319058208,0.168232280264775,-0.0923276695480167,0.050589181691813,6.71409531736255,0.00473050246704573,0.000987084085227345,0.00172939453701688,0.00285181387114355,0.00285181387114355
"7","ABHD2",0.000925737889184872,0.00538433360576917,0.13627745246232,0.0411444062400327,7.66483862642979,0.00612030467460467,0.000518257267587322,0.000167794557061,0.00202103597967994,0.00202103597967994
"8","ABLIM2",0.256342288783437,0.436041848725573,0.308530538312139,0.271814193777165,3.71904685954584,0.11721687504783,0.046999778392861,0.0638246555152344,0.0229464096564852,0.0638246555152344
"9","ACACB",0.00313523929734826,0.0145071377078262,-0.306858833834931,0.103873551640595,5.00251187127011,0.0301063273861079,0.00772401245286619,-0.00540198218368133,0.00846055964278077,0.00846055964278077
"10","ACAD9",0.805978066471849,0.896466305184733,0.0124223890848536,0.0505760833113419,7.04841534870449,0.00120387106328026,0.00136477334943622,8.21970731982955e-05,0.00247213695523747,0.00247213695523747
"11","ACBD4",4.98144066007231e-07,7.49002475350078e-06,-0.477004253438035,0.0948879566760009,5.12715605638337,0.0742545609806337,0.00577126082215895,0.00172204372939169,0.00773432566106099,0.00773432566106099
"12","ACOT7",0.711400351056579,0.834079405090076,-0.0150216325422112,0.0406016372886708,7.90672673681234,0.000448784129429443,0.000543373982501119,-6.70123623018188e-05,0.00192936544328005,0.00192936544328005
"13","ACP1",0.431543027216328,0.615471793996079,0.0315213228656271,0.0400752205027537,7.70018781370817,0.000847563344864457,0.000403945137056233,0.0002829113708247,0.00200508981046026,0.00200508981046026
