"","extGene","wt.group","shZ.group","GENENAME","WT","shZ","b","qval"
"1","AACS",1,6,"acetoacetyl-CoA synthetase",31.4029281877651,30.7652178975579,-0.0160808558802226,0.880877655166276
"2","AATF",6,6,"apoptosis antagonizing transcription factor",92.5599986187729,98.6989310797776,0.0660306133457608,0.20928285651313
"3","ABCA17P",1,6,"ATP binding cassette subfamily A member 17, pseudogene",0.542538206030937,0.609810080414233,0.078258288811849,0.899767913315527
"4","ABCA3",7,6,"ATP binding cassette subfamily A member 3",1.42589392578667,1.48587400922549,0.0585823571858458,0.854616902222386
"5","ABCC3",6,6,"ATP binding cassette subfamily C member 3",69.261840718243,75.4487298812929,0.0878679704759636,0.0955382107938894
"6","ABCC8",7,6,"ATP binding cassette subfamily C member 8",0.0088231585336134,0,NA,NA
"7","ABHD10",1,6,"abhydrolase domain containing 10",23.54230679623,21.4211954476952,-0.0923276695480167,0.168232280264775
"8","ABHD2",6,6,"abhydrolase domain containing 2",15.8537689655763,18.1249509544516,0.13627745246232,0.00538433360576917
"9","ABLIM2",7,6,"actin binding LIM protein family member 2",0.77935813630739,1.02061780839968,0.308530538312139,0.436041848725573
"10","ACACB",7,6,"acetyl-CoA carboxylase beta",2.25635859445583,1.65300346934717,-0.306858833834931,0.0145071377078262
"11","ACAD9",1,6,"acyl-CoA dehydrogenase family member 9",34.1555144897891,34.4827259066422,0.0124223890848536,0.896466305184733
"12","ACBD4",1,6,"acyl-CoA binding domain containing 4",8.01703294232246,4.94678509198099,-0.477004253438035,7.49002475350078e-06
"13","ACOT12",6,6,"acyl-CoA thioesterase 12",0,0.0138166511175212,NA,NA
"14","ACOT7",6,6,"acyl-CoA thioesterase 7",127.119960454419,125.001934221933,-0.0150216325422112,0.834079405090076
"15","ACP1",6,6,"acid phosphatase 1",105.779935576051,108.94478190967,0.0315213228656271,0.615471793996079
"16","ACTA1",7,6,"actin alpha 1, skeletal muscle",0.161815056640445,0.183454429530693,NA,NA
"17","ACVR2A",4,6,"activin A receptor type 2A",2.98808136905906,3.01089783563049,0.0102304352319568,0.951329515594003
"18","ACVRL1",1,6,"activin A receptor like type 1",0.288461721488231,0.0798116478988241,-1.49535188807423,0.283713089151454
"19","ADAMTS13",6,6,"ADAM metallopeptidase with thrombospondin type 1 motif 13",1.15206294578387,0.934603855431508,-0.189992421379392,0.597833487726831
"20","ADAMTS17",7,6,"ADAM metallopeptidase with thrombospondin type 1 motif 17",0.155840690596654,0.180899916463602,0.130430120658654,0.871183717441969
"21","ADAMTSL2",7,6,"ADAMTS like 2",0.0248729584604012,0.0224211476546421,NA,NA
"22","ADAR",7,6,"adenosine deaminase RNA specific",133.503812756179,131.875492674589,-0.0101256339466728,0.886904947784377
"23","ADCK5",6,6,"aarF domain containing kinase 5",7.56446449971688,8.52979077759872,0.119768537678639,0.383052131291295
"24","ADD2",7,6,"adducin 2",12.0427168792349,9.73602140744391,-0.209431872610466,0.00275003524484417
"25","ADORA3",6,6,"adenosine A3 receptor",0,0,NA,NA
"26","ADPGK",6,6,"ADP dependent glucokinase",42.5641985647487,43.9244646629171,0.0339379356598815,0.626095188999156
"27","ADPRHL1",1,6,"ADP-ribosylhydrolase like 1",1.61344614180406,1.5307142804457,-0.0830681479508206,0.841459292446916
"28","ADRA2A",7,6,"adrenoceptor alpha 2A",0.00644330296700224,0,NA,NA
"29","ADRA2C",1,6,"adrenoceptor alpha 2C",0.133247979928713,0.446637426772913,1.08041608881416,0.0785114269663864
"30","AEBP1",7,6,"AE binding protein 1",0.0205607125545323,0.0302988152409466,NA,NA
"31","AGER",1,6,"advanced glycosylation end-product specific receptor",6.21844238669847,4.64430578510104,-0.301191375261192,0.0525458142731195
"32","AGXT2L1",4,6,NA,NA,NA,NA,NA
"33","AHNAK2",1,6,"AHNAK nucleoprotein 2",8.42183280055275,11.8402378354193,0.371959054448008,0.131919751118577
"34","AIPL1",1,6,"aryl hydrocarbon receptor interacting protein like 1",2.63776373736861,3.08201382874957,0.161052179503304,0.309856555386863
"35","AK2",4,6,"adenylate kinase 2",138.765096970258,121.899584176406,-0.127256355786124,0.00353908368373529
"36","AKAP13",7,6,"A-kinase anchoring protein 13",9.9491736883724,11.175722226303,0.119898509079546,0.354824414971932
"37","AKR1B10",1,6,"aldo-keto reductase family 1 member B10",0.533634557017025,0.411509389120147,-0.302151564315368,0.629929199054084
"38","ALCAM",1,6,"activated leukocyte cell adhesion molecule",75.7561033771831,102.096198037741,0.298951243580209,2.56502893036219e-11
"39","ALDH1L1-AS2",1,6,"ALDH1L1 antisense RNA 2",0.0611072122040716,0.0215890419509616,NA,NA
"40","ALG9",1,6,"ALG9 alpha-1,2-mannosyltransferase",20.8787248873023,19.6062540431176,-0.0615312411918512,0.437448807879571
"41","ALOX12",7,6,"arachidonate 12-lipoxygenase, 12S type",1.0652478811519,0.832631372221225,-0.217639308074146,0.536697210013159
"42","ALPPL2",1,6,NA,NA,NA,NA,NA
"43","AMER2",7,6,"APC membrane recruitment protein 2",0,0.00942211312889991,NA,NA
