"","extGene","wt.group","shZ.group","GENENAME","WT","shZ","b","qval"
"1","ACACB",7,6,"acetyl-CoA carboxylase beta",2.25635859445583,1.65300346934717,-0.306858833834931,0.0145071377078262
"2","ACBD4",1,6,"acyl-CoA binding domain containing 4",8.01703294232246,4.94678509198099,-0.477004253438035,7.49002475350078e-06
"3","ADD2",7,6,"adducin 2",12.0427168792349,9.73602140744391,-0.209431872610466,0.00275003524484417
"4","AGER",1,6,"advanced glycosylation end-product specific receptor",6.21844238669847,4.64430578510104,-0.301191375261192,0.0525458142731195
"5","AK2",4,6,"adenylate kinase 2",138.765096970258,121.899584176406,-0.127256355786124,0.00353908368373529
"6","ARNT",1,6,"aryl hydrocarbon receptor nuclear translocator",25.3144568783325,20.4532788081363,-0.20739779182228,0.0356400013560468
"7","C1orf210",4,6,"chromosome 1 open reading frame 210",5.00678068112786,2.18930985832703,-0.859671005635325,0.0131691516868138
"8","C7orf50",7,6,"chromosome 7 open reading frame 50",115.394163378619,95.8448095165659,-0.180746017594225,0.0179519280793873
"9","CCDC51",7,6,"coiled-coil domain containing 51",52.1730959570376,39.0632333295179,-0.283322866490594,0.000186553599833104
"10","CCDC88B",7,6,"coiled-coil domain containing 88B",6.26863222068317,3.27851380880266,-0.691780606722676,0.0117931151311905
"11","CCNG1",1,6,"cyclin G1",220.737230067619,181.707702674372,-0.191772890971245,5.91434838971729e-06
"12","CHAD",1,6,"chondroadherin",1.21427067349132,0.398212818619372,-1.06929325940204,0.00208237586772155
"13","CLGN",4,6,"calmegin",4.26182006230382,2.90958387169283,-0.390080024820844,0.00659047160806257
"14","CNIH4",4,6,"cornichon family AMPA receptor auxiliary protein 4",151.003071507586,131.517085237905,-0.136583883406929,0.00422083218595502
"15","DBT",4,6,"dihydrolipoamide branched chain transacylase E2",12.908489942054,7.1676479643116,-0.587135887619405,2.05056746283323e-05
"16","DCAF4L1",1,6,"DDB1 and CUL4 associated factor 4 like 1",0.454091435677928,0.207470578806194,-0.768991319780141,0.0359278587304508
"17","DDX18",1,6,"DEAD-box helicase 18",72.6079007782709,64.5186677907878,-0.115516325694711,0.0118656010255925
"18","DNMT3B",7,6,"DNA methyltransferase 3 beta",4.10790636381434,2.4158650488411,-0.543317187534457,0.00203436782207142
"19","ECSIT",1,6,"ECSIT signaling integrator",37.0109396604787,32.0020633857375,-0.140992564807435,0.0432065162264831
"20","EIF2S3",4,6,"eukaryotic translation initiation factor 2 subunit gamma",289.950603701881,224.699851279144,-0.251928655638021,3.26845321510172e-10
"21","EIF3I",6,6,"eukaryotic translation initiation factor 3 subunit I",386.099248320607,352.830695213355,-0.0870053914774815,0.0575456678748765
"22","EIF4EBP3",1,6,"eukaryotic translation initiation factor 4E binding protein 3",27.0621037084846,16.919710015099,-0.453597924736358,0.0079393406595505
"23","ENPP5",4,6,"ectonucleotide pyrophosphatase/phosphodiesterase family member 5",1.46742445997928,0.910241421419924,-0.469713090146435,0.0255521634923118
