"","extGene","wt.group","shZ.group","GENENAME","WT","shZ","b","qval"
"1","A2M",2,7,"alpha-2-macroglobulin",0.0198516885003279,0.0522330092520811,NA,NA
"2","A2ML1",2,4,"alpha-2-macroglobulin like 1",0.178612184906664,5.64940210341087,3.38452723248079,5.15948583276797e-52
"3","AA06",2,7,"uncharacterized LOC100506677",0,0,NA,NA
"4","AAAS",5,3,"aladin WD repeat nucleoporin",48.0664529715997,41.1788999258155,-0.152838357815902,0.00660648959109014
"5","AADACL3",5,7,"arylacetamide deacetylase like 3",0.0196299044894074,0.0123873001648844,NA,NA
"6","ABCA1",5,7,"ATP binding cassette subfamily A member 1",0.0719649808621044,0.0382623670931908,-0.521165134423065,0.443709394985627
"7","ABCA6",5,1,"ATP binding cassette subfamily A member 6",2.01373878345337,3.65104445770076,0.577839668465275,0.00028105331471515
"8","ABCB1",2,3,"ATP binding cassette subfamily B member 1",0.00501974913517049,0,NA,NA
"9","ABCB4",5,4,"ATP binding cassette subfamily B member 4",0.0275276318761269,0.0938129948261345,NA,NA
"10","ABCB8",5,7,"ATP binding cassette subfamily B member 8",33.9653379216879,34.9621263553169,0.0312170077807433,0.691048411494613
"11","ABCC1",5,3,"ATP binding cassette subfamily C member 1",40.0500925520039,44.257782532966,0.102922332912478,0.228065917556451
"12","ABCC11",2,4,"ATP binding cassette subfamily C member 11",0.137792748884818,0.133218774145459,NA,NA
"13","ABCC12",5,4,"ATP binding cassette subfamily C member 12",0,0,NA,NA
"14","ABCC2",2,4,"ATP binding cassette subfamily C member 2",16.5745107632935,7.07721318391798,-0.82044226692978,1.15921877165812e-05
"15","ABCC5-AS1",5,1,"ABCC5 antisense RNA 1",0,0.069852769646358,NA,NA
"16","ABCC6",5,3,"ATP binding cassette subfamily C member 6",0.0958611043290412,0.0646541149262306,NA,NA
"17","ABCC9",2,7,"ATP binding cassette subfamily C member 9",0.441649233941603,0.458816860123315,0.0524972592153591,0.884976952494463
"18","ABCD2",5,4,"ATP binding cassette subfamily D member 2",0.255810153832337,0.118223184488337,-0.717368591672645,0.0432977284342521
"19","ABCG4",5,1,"ATP binding cassette subfamily G member 4",0.0842021018271921,0.0730038932247726,NA,NA
"20","ABHD13",5,7,"abhydrolase domain containing 13",2.45266153080111,3.15406597971795,0.287993602343287,0.509123822804088
"21","ABHD17A",5,3,"abhydrolase domain containing 17A",50.8773618416132,61.8518555770511,0.203086931985146,0.0419393215434345
"22","ABI3",5,3,"ABI family member 3",0,0,NA,NA
"23","ABL2",2,1,"ABL proto-oncogene 2, non-receptor tyrosine kinase",9.48288035329939,10.9835707865045,0.146265279527436,0.0598099589454594
"24","ACAD8",5,1,"acyl-CoA dehydrogenase family member 8",24.582190963117,22.1664708655788,-0.103621831909106,0.186896839397113
