"","SYMBOL","GENENAME"
"1","A1CF","APOBEC1 complementation factor"
"2","A2MP1","alpha-2-macroglobulin pseudogene 1"
"3","AADAC","arylacetamide deacetylase"
"4","AADACL2","arylacetamide deacetylase like 2"
"5","AADACL4","arylacetamide deacetylase like 4"
"6","AAED1",NA
"7","AATK","apoptosis associated tyrosine kinase"
"8","ABCA2","ATP binding cassette subfamily A member 2"
"9","ABCA8","ATP binding cassette subfamily A member 8"
"10","ABCA9","ATP binding cassette subfamily A member 9"
"11","ABCB5","ATP binding cassette subfamily B member 5"
"12","ABCC6P1","ATP binding cassette subfamily C member 6 pseudogene 1"
"13","ABCC6P2","ATP binding cassette subfamily C member 6 pseudogene 2"
"14","ABCD1","ATP binding cassette subfamily D member 1"
"15","ABHD12","abhydrolase domain containing 12"
"16","ABHD15","abhydrolase domain containing 15"
"17","ABHD17C","abhydrolase domain containing 17C"
"18","ABI3BP","ABI family member 3 binding protein"
"19","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
"20","ABR","ABR activator of RhoGEF and GTPase"
"21","ABTB1","ankyrin repeat and BTB domain containing 1"
"22","ACAN","aggrecan"
"23","ACBD7","acyl-CoA binding domain containing 7"
"24","ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like"
"25","ACE","angiotensin I converting enzyme"
"26","ACE2","angiotensin I converting enzyme 2"
"27","ACMSD","aminocarboxymuconate semialdehyde decarboxylase"
"28","ACOT4","acyl-CoA thioesterase 4"
"29","ACOXL","acyl-CoA oxidase like"
"30","ACPP","acid phosphatase, prostate"
"31","ACPT",NA
"32","ACRC",NA
"33","ACRV1","acrosomal vesicle protein 1"
"34","ACSM2A","acyl-CoA synthetase medium chain family member 2A"
"35","ACSM2B","acyl-CoA synthetase medium chain family member 2B"
"36","ACSM3","acyl-CoA synthetase medium chain family member 3"
"37","ACTB","actin beta"
"38","ACTC1","actin alpha cardiac muscle 1"
"39","ACTG1","actin gamma 1"
"40","ACTG2","actin gamma 2, smooth muscle"
"41","ACTL6B","actin like 6B"
"42","ACTN2","actinin alpha 2"
"43","ACTR3B","actin related protein 3B"
"44","ACTRT1","actin related protein T1"
"45","ACTRT2","actin related protein T2"
"46","ADAM11","ADAM metallopeptidase domain 11"
"47","ADAM12","ADAM metallopeptidase domain 12"
"48","ADAM21P1","ADAM metallopeptidase domain 21 pseudogene 1"
"49","ADAM23","ADAM metallopeptidase domain 23"
"50","ADAM28","ADAM metallopeptidase domain 28"
"51","ADAM6","ADAM metallopeptidase domain 6 (pseudogene)"
"52","ADAM7","ADAM metallopeptidase domain 7"
"53","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10"
"54","ADAMTS16","ADAM metallopeptidase with thrombospondin type 1 motif 16"
"55","ADAMTS18","ADAM metallopeptidase with thrombospondin type 1 motif 18"
"56","ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2"
"57","ADAMTS20","ADAM metallopeptidase with thrombospondin type 1 motif 20"
"58","ADAMTS7","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"59","ADAMTS8","ADAM metallopeptidase with thrombospondin type 1 motif 8"
"60","ADAMTSL1","ADAMTS like 1"
"61","ADAMTSL3","ADAMTS like 3"
"62","ADAP1","ArfGAP with dual PH domains 1"
"63","ADARB1","adenosine deaminase RNA specific B1"
"64","ADCY1","adenylate cyclase 1"
"65","ADCY2","adenylate cyclase 2"
"66","ADCY6","adenylate cyclase 6"
"67","ADCY9","adenylate cyclase 9"
"68","ADD1","adducin 1"
"69","ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide"
"70","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide"
"71","ADH4","alcohol dehydrogenase 4 (class II), pi polypeptide"
"72","ADI1","acireductone dioxygenase 1"
"73","ADIPOQ","adiponectin, C1Q and collagen domain containing"
"74","ADM2","adrenomedullin 2"
"75","ADM5","adrenomedullin 5 (putative)"
"76","ADNP","activity dependent neuroprotector homeobox"
"77","ADPRH","ADP-ribosylarginine hydrolase"
"78","ADRA1D","adrenoceptor alpha 1D"
"79","ADRA2B","adrenoceptor alpha 2B"
"80","ADRB1","adrenoceptor beta 1"
"81","ADRB3","adrenoceptor beta 3"
"82","ADRM1","adhesion regulating molecule 1"
"83","ADTRP","androgen dependent TFPI regulating protein"
"84","AEN","apoptosis enhancing nuclease"
"85","AFAP1","actin filament associated protein 1"
"86","AFF2","AF4/FMR2 family member 2"
"87","AFM","afamin"
"88","AFP","alpha fetoprotein"
"89","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"90","AGMO","alkylglycerol monooxygenase"
"91","AGO2","argonaute RISC catalytic component 2"
"92","AGO4","argonaute RISC component 4"
"93","AGPAT4-IT1","AGPAT4 intronic transcript 1"
"94","AGRN","agrin"
"95","AHSP","alpha hemoglobin stabilizing protein"
"96","AICDA","activation induced cytidine deaminase"
"97","AIRE","autoimmune regulator"
"98","AIRN","antisense of IGF2R non-protein coding RNA"
"99","AJAP1","adherens junctions associated protein 1"
"100","AK8","adenylate kinase 8"
"101","AKAP12","A-kinase anchoring protein 12"
"102","AKAP17A","A-kinase anchoring protein 17A"
"103","AKAP3","A-kinase anchoring protein 3"
"104","AKIRIN1","akirin 1"
"105","AKR1C3","aldo-keto reductase family 1 member C3"
"106","AKR1C6P","aldo-keto reductase family 1 member C6, pseudogene"
"107","AKR1CL1",NA
"108","AKR1E2","aldo-keto reductase family 1 member E2"
"109","AKR7L","aldo-keto reductase family 7 like (gene/pseudogene)"
"110","AKT1","AKT serine/threonine kinase 1"
"111","AKT2","AKT serine/threonine kinase 2"
"112","AKT3","AKT serine/threonine kinase 3"
"113","ALAS2","5'-aminolevulinate synthase 2"
"114","ALB","albumin"
"115","ALDH1A3","aldehyde dehydrogenase 1 family member A3"
"116","ALDOB","aldolase, fructose-bisphosphate B"
"117","ALKBH7","alkB homolog 7"
"118","ALPK1","alpha kinase 1"
"119","ALPK2","alpha kinase 2"
"120","ALS2CR12",NA
"121","ALX1","ALX homeobox 1"
"122","AMBN","ameloblastin"
"123","AMDHD2","amidohydrolase domain containing 2"
"124","AMELY","amelogenin Y-linked"
"125","AMY1A","amylase alpha 1A"
"126","AMY2A","amylase alpha 2A"
"127","ANAPC15","anaphase promoting complex subunit 15"
"128","ANAPC1P1","anaphase promoting complex subunit 1 pseudogene 1"
"129","ANGPTL3","angiopoietin like 3"
"130","ANHX","anomalous homeobox"
"131","ANK3","ankyrin 3"
"132","ANKAR","ankyrin and armadillo repeat containing"
"133","ANKDD1A","ankyrin repeat and death domain containing 1A"
"134","ANKLE1","ankyrin repeat and LEM domain containing 1"
"135","ANKRD16","ankyrin repeat domain 16"
"136","ANKRD20A9P","ankyrin repeat domain 20 family member A9, pseudogene"
"137","ANKRD26P3","ankyrin repeat domain 26 pseudogene 3"
"138","ANKRD30B","ankyrin repeat domain 30B"
"139","ANKRD30BP2","ankyrin repeat domain 30B pseudogene 2"
"140","ANKRD33B","ankyrin repeat domain 33B"
"141","ANKRD34B","ankyrin repeat domain 34B"
"142","ANKRD34C","ankyrin repeat domain 34C"
"143","ANKRD6","ankyrin repeat domain 6"
"144","ANKRD62P1-PARP4P3","ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene"
"145","ANKRD63","ankyrin repeat domain 63"
"146","ANKRD66","ankyrin repeat domain 66"
"147","ANKS1A","ankyrin repeat and sterile alpha motif domain containing 1A"
"148","ANKS4B","ankyrin repeat and sterile alpha motif domain containing 4B"
"149","ANKUB1","ankyrin repeat and ubiquitin domain containing 1"
"150","ANO5","anoctamin 5"
"151","ANP32C","acidic nuclear phosphoprotein 32 family member C"
"152","ANP32D","acidic nuclear phosphoprotein 32 family member D"
"153","ANXA10","annexin A10"
"154","ANXA8","annexin A8"
"155","AOAH","acyloxyacyl hydrolase"
"156","AP2A2","adaptor related protein complex 2 subunit alpha 2"
"157","AP3B2","adaptor related protein complex 3 subunit beta 2"
"158","AP3M2","adaptor related protein complex 3 subunit mu 2"
"159","AP4B1-AS1","AP4B1 antisense RNA 1"
"160","APBA1","amyloid beta precursor protein binding family A member 1"
"161","APBA2","amyloid beta precursor protein binding family A member 2"
"162","APBB1","amyloid beta precursor protein binding family B member 1"
"163","APBB2","amyloid beta precursor protein binding family B member 2"
"164","APCDD1","APC down-regulated 1"
"165","APCDD1L","APC down-regulated 1 like"
"166","APCS","amyloid P component, serum"
"167","APLP1","amyloid beta precursor like protein 1"
"168","APOBEC1","apolipoprotein B mRNA editing enzyme catalytic subunit 1"
"169","APOBEC3D","apolipoprotein B mRNA editing enzyme catalytic subunit 3D"
"170","APOBEC4","apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4"
"171","APOF","apolipoprotein F"
"172","APOH","apolipoprotein H"
"173","APOO","apolipoprotein O"
"174","AQP11","aquaporin 11"
"175","AQP12A","aquaporin 12A"
"176","AQP4","aquaporin 4"
"177","AQP6","aquaporin 6"
"178","AQP7P3","aquaporin 7 pseudogene 3"
"179","AREG","amphiregulin"
"180","ARFRP1","ADP ribosylation factor related protein 1"
"181","ARGFX","arginine-fifty homeobox"
"182","ARHGAP15","Rho GTPase activating protein 15"
"183","ARHGAP18","Rho GTPase activating protein 18"
"184","ARHGAP20","Rho GTPase activating protein 20"
"185","ARHGAP26-AS1","ARHGAP26 antisense RNA 1"
"186","ARHGAP29","Rho GTPase activating protein 29"
"187","ARHGAP30","Rho GTPase activating protein 30"
"188","ARHGDIG","Rho GDP dissociation inhibitor gamma"
"189","ARHGEF10","Rho guanine nucleotide exchange factor 10"
"190","ARHGEF25","Rho guanine nucleotide exchange factor 25"
"191","ARHGEF33","Rho guanine nucleotide exchange factor 33"
"192","ARHGEF35","Rho guanine nucleotide exchange factor 35"
"193","ARID1A","AT-rich interaction domain 1A"
"194","ARID3C","AT-rich interaction domain 3C"
"195","ARID5B","AT-rich interaction domain 5B"
"196","ARL13A","ADP ribosylation factor like GTPase 13A"
"197","ARL17A","ADP ribosylation factor like GTPase 17A"
"198","ARL4C","ADP ribosylation factor like GTPase 4C"
"199","ARMCX1","armadillo repeat containing X-linked 1"
"200","ARPC1B","actin related protein 2/3 complex subunit 1B"
"201","ARPP21","cAMP regulated phosphoprotein 21"
"202","ARRB1","arrestin beta 1"
"203","ARRDC1","arrestin domain containing 1"
"204","ARSF","arylsulfatase F"
"205","ARSH","arylsulfatase family member H"
"206","ART3","ADP-ribosyltransferase 3"
"207","ARX","aristaless related homeobox"
"208","ASAP2","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"
"209","ASB11","ankyrin repeat and SOCS box containing 11"
"210","ASB14","ankyrin repeat and SOCS box containing 14"
"211","ASB2","ankyrin repeat and SOCS box containing 2"
"212","ASCL2","achaete-scute family bHLH transcription factor 2"
"213","ASCL3","achaete-scute family bHLH transcription factor 3"
"214","ASIC2","acid sensing ion channel subunit 2"
"215","ASIC5","acid sensing ion channel subunit family member 5"
"216","ASMT","acetylserotonin O-methyltransferase"
"217","ASMTL","acetylserotonin O-methyltransferase like"
"218","ASMTL-AS1","ASMTL antisense RNA 1"
"219","ASPG","asparaginase"
"220","ASPHD2","aspartate beta-hydroxylase domain containing 2"
"221","ASPN","asporin"
"222","ASXL3","ASXL transcriptional regulator 3"
"223","ATAD3A","ATPase family AAA domain containing 3A"
"224","ATCAY","ATCAY kinesin light chain interacting caytaxin"
"225","ATF4","activating transcription factor 4"
"226","ATG2B","autophagy related 2B"
"227","ATG4B","autophagy related 4B cysteine peptidase"
"228","ATHL1",NA
"229","ATMIN","ATM interactor"
"230","ATP10B","ATPase phospholipid transporting 10B (putative)"
"231","ATP11A","ATPase phospholipid transporting 11A"
"232","ATP13A2","ATPase cation transporting 13A2"
"233","ATP13A4","ATPase 13A4"
"234","ATP13A5","ATPase 13A5"
"235","ATP1A1OS",NA
"236","ATP2B1","ATPase plasma membrane Ca2+ transporting 1"
"237","ATP2C1","ATPase secretory pathway Ca2+ transporting 1"
"238","ATP4B","ATPase H+/K+ transporting subunit beta"
"239","ATP6V0D2","ATPase H+ transporting V0 subunit d2"
"240","ATP6V1B2","ATPase H+ transporting V1 subunit B2"
"241","ATP6V1G3","ATPase H+ transporting V1 subunit G3"
"242","ATP9A","ATPase phospholipid transporting 9A (putative)"
"243","ATRNL1","attractin like 1"
"244","ATXN7","ataxin 7"
"245","AURKAPS1",NA
"246","AUTS2","activator of transcription and developmental regulator AUTS2"
"247","AVEN","apoptosis and caspase activation inhibitor"
"248","AVPR1A","arginine vasopressin receptor 1A"
"249","AWAT2","acyl-CoA wax alcohol acyltransferase 2"
"250","AXIN1","axin 1"
"251","B3GALT1","beta-1,3-galactosyltransferase 1"
"252","B3GALT6","beta-1,3-galactosyltransferase 6"
"253","B3GAT1","beta-1,3-glucuronyltransferase 1"
"254","B3GAT2","beta-1,3-glucuronyltransferase 2"
"255","B3GNT6","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"
"256","B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
"257","B3GNT8","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8"
"258","B4GALNT3","beta-1,4-N-acetyl-galactosaminyltransferase 3"
"259","B4GALNT4","beta-1,4-N-acetyl-galactosaminyltransferase 4"
"260","BAALC","BAALC binder of MAP3K1 and KLF4"
"261","BABAM1","BRISC and BRCA1 A complex member 1"
"262","BAHCC1","BAH domain and coiled-coil containing 1"
"263","BAI2",NA
"264","BAMBI","BMP and activin membrane bound inhibitor"
"265","BANCR","BRAF-activated non-protein coding RNA"
"266","BAP1","BRCA1 associated protein 1"
"267","BARHL2","BarH like homeobox 2"
"268","BARX1","BARX homeobox 1"
"269","BARX2","BARX homeobox 2"
"270","BBS1","Bardet-Biedl syndrome 1"
"271","BBX","BBX high mobility group box domain containing"
"272","BCAN","brevican"
"273","BCAR4","breast cancer anti-estrogen resistance 4"
"274","BCAS1","breast carcinoma amplified sequence 1"
"275","BCAT1","branched chain amino acid transaminase 1"
"276","BCHE","butyrylcholinesterase"
"277","BCL2A1","BCL2 related protein A1"
"278","BCL2L14","BCL2 like 14"
"279","BCL6","BCL6 transcription repressor"
"280","BCL7A","BAF chromatin remodeling complex subunit BCL7A"
"281","BCL9","BCL9 transcription coactivator"
"282","BCYRN1","brain cytoplasmic RNA 1"
"283","BDH2","3-hydroxybutyrate dehydrogenase 2"
"284","BEAN1","brain expressed associated with NEDD4 1"
"285","BEND3","BEN domain containing 3"
"286","BEND4","BEN domain containing 4"
"287","BEND5","BEN domain containing 5"
"288","BEST3","bestrophin 3"
"289","BEX1","brain expressed X-linked 1"
"290","BEX4","brain expressed X-linked 4"
"291","BFSP2","beaded filament structural protein 2"
"292","BHLHB9","basic helix-loop-helix family member b9"
"293","BHLHE23","basic helix-loop-helix family member e23"
"294","BIN2","bridging integrator 2"
"295","BIRC5","baculoviral IAP repeat containing 5"
"296","BLID","BH3-like motif containing, cell death inducer"
"297","BMP10","bone morphogenetic protein 10"
"298","BMP2K","BMP2 inducible kinase"
"299","BMP8A","bone morphogenetic protein 8a"
"300","BMP8B","bone morphogenetic protein 8b"
"301","BMPR1B","bone morphogenetic protein receptor type 1B"
"302","BMS1P1","BMS1 pseudogene 1"
"303","BMS1P6",NA
"304","BNIP3","BCL2 interacting protein 3"
"305","BOK","BCL2 family apoptosis regulator BOK"
"306","BOK-AS1","BOK antisense RNA 1"
"307","BOLA2","bolA family member 2"
"308","BOLL","boule homolog, RNA binding protein"
"309","BPIFA2","BPI fold containing family A member 2"
"310","BPTF","bromodomain PHD finger transcription factor"
"311","BPY2","basic charge Y-linked 2"
"312","BRD3","bromodomain containing 3"
"313","BRD7","bromodomain containing 7"
"314","BRD7P3","bromodomain containing 7 pseudogene 3"
"315","BRDT","bromodomain testis associated"
"316","BRI3","brain protein I3"
"317","BRPF3","bromodomain and PHD finger containing 3"
"318","BRS3","bombesin receptor subtype 3"
"319","BSN","bassoon presynaptic cytomatrix protein"
"320","BSPRY","B-box and SPRY domain containing"
"321","BSX","brain specific homeobox"
"322","BTBD18","BTB domain containing 18"
"323","BTF3P11","basic transcription factor 3 pseudogene 11"
"324","BTG4","BTG anti-proliferation factor 4"
"325","BTK","Bruton tyrosine kinase"
"326","BTN3A2","butyrophilin subfamily 3 member A2"
"327","BVES-AS1","BVES antisense RNA 1"
"328","BZRAP1-AS1",NA
"329","C10orf10",NA
"330","C10orf113","chromosome 10 open reading frame 113"
"331","C10orf120","chromosome 10 open reading frame 120"
"332","C10orf82","chromosome 10 open reading frame 82"
"333","C10orf90","chromosome 10 open reading frame 90"
"334","C11orf34",NA
"335","C11orf42","chromosome 11 open reading frame 42"
"336","C11orf53","chromosome 11 open reading frame 53"
"337","C11orf63",NA
"338","C11orf65","chromosome 11 open reading frame 65"
"339","C11orf68","chromosome 11 open reading frame 68"
"340","C11orf85",NA
"341","C11orf88","chromosome 11 open reading frame 88"
"342","C11orf92",NA
"343","C11orf95","chromosome 11 open reading frame 95"
"344","C11orf96","chromosome 11 open reading frame 96"
"345","C12orf39",NA
"346","C12orf50","chromosome 12 open reading frame 50"
"347","C12orf74","chromosome 12 open reading frame 74"
"348","C12orf76","chromosome 12 open reading frame 76"
"349","C13orf45",NA
"350","C14orf132","chromosome 14 open reading frame 132"
"351","C14orf166B",NA
"352","C14orf177","chromosome 14 open reading frame 177"
"353","C14orf23",NA
"354","C14orf28","chromosome 14 open reading frame 28"
"355","C15orf59",NA
"356","C15orf60",NA
"357","C16orf11",NA
