"","SYMBOL","GENENAME"
"1","A2M","alpha-2-macroglobulin"
"2","A2ML1","alpha-2-macroglobulin like 1"
"3","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase"
"4","AA06","uncharacterized LOC100506677"
"5","AAAS","aladin WD repeat nucleoporin"
"6","AADACL3","arylacetamide deacetylase like 3"
"7","ABCA1","ATP binding cassette subfamily A member 1"
"8","ABCA12","ATP binding cassette subfamily A member 12"
"9","ABCA6","ATP binding cassette subfamily A member 6"
"10","ABCB1","ATP binding cassette subfamily B member 1"
"11","ABCB11","ATP binding cassette subfamily B member 11"
"12","ABCB4","ATP binding cassette subfamily B member 4"
"13","ABCB8","ATP binding cassette subfamily B member 8"
"14","ABCC1","ATP binding cassette subfamily C member 1"
"15","ABCC11","ATP binding cassette subfamily C member 11"
"16","ABCC12","ATP binding cassette subfamily C member 12"
"17","ABCC2","ATP binding cassette subfamily C member 2"
"18","ABCC5-AS1","ABCC5 antisense RNA 1"
"19","ABCC6","ATP binding cassette subfamily C member 6"
"20","ABCC9","ATP binding cassette subfamily C member 9"
"21","ABCD2","ATP binding cassette subfamily D member 2"
"22","ABCG4","ATP binding cassette subfamily G member 4"
"23","ABHD13","abhydrolase domain containing 13"
"24","ABHD17A","abhydrolase domain containing 17A"
"25","ABI3","ABI family member 3"
"26","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase"
"27","ACAD8","acyl-CoA dehydrogenase family member 8"
"28","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"29","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"30","ACIN1","apoptotic chromatin condensation inducer 1"
"31","ACN9",NA
"32","ACOT6","acyl-CoA thioesterase 6"
"33","ACOX2","acyl-CoA oxidase 2"
"34","ACP5","acid phosphatase 5, tartrate resistant"
"35","ACRBP","acrosin binding protein"
"36","ACSBG1","acyl-CoA synthetase bubblegum family member 1"
"37","ACSF3","acyl-CoA synthetase family member 3"
"38","ACSL3","acyl-CoA synthetase long chain family member 3"
"39","ACSM1","acyl-CoA synthetase medium chain family member 1"
"40","ACSM4","acyl-CoA synthetase medium chain family member 4"
"41","ACTL7A","actin like 7A"
"42","ACTL8","actin like 8"
"43","ACTR3C","actin related protein 3C"
"44","ACTR6","actin related protein 6"
"45","ACVR2B","activin A receptor type 2B"
"46","ADAD1","adenosine deaminase domain containing 1"
"47","ADAD2","adenosine deaminase domain containing 2"
"48","ADAM1A","ADAM metallopeptidase domain 1A (pseudogene)"
"49","ADAM2","ADAM metallopeptidase domain 2"
"50","ADAM20","ADAM metallopeptidase domain 20"
"51","ADAM20P1","ADAM metallopeptidase domain 20 pseudogene 1"
"52","ADAM22","ADAM metallopeptidase domain 22"
"53","ADAM29","ADAM metallopeptidase domain 29"
"54","ADAM30","ADAM metallopeptidase domain 30"
"55","ADAM8","ADAM metallopeptidase domain 8"
"56","ADAMDEC1","ADAM like decysin 1"
"57","ADAMTS19","ADAM metallopeptidase with thrombospondin type 1 motif 19"
"58","ADAMTS6","ADAM metallopeptidase with thrombospondin type 1 motif 6"
"59","ADARB2-AS1","ADARB2 antisense RNA 1"
"60","ADCK2","aarF domain containing kinase 2"
"61","ADCY4","adenylate cyclase 4"
"62","ADCYAP1R1","ADCYAP receptor type I"
"63","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide"
"64","ADH6","alcohol dehydrogenase 6 (class V)"
"65","ADIG","adipogenin"
"66","ADNP2","ADNP homeobox 2"
"67","ADORA2A","adenosine A2a receptor"
"68","ADSSL1",NA
"69","AFAP1-AS1","AFAP1 antisense RNA 1"
"70","AGBL1","ATP/GTP binding protein like 1"
"71","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2"
"72","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3"
"73","AGR3","anterior gradient 3, protein disulphide isomerase family member"
"74","AGTR2","angiotensin II receptor type 2"
"75","AGXT2","alanine--glyoxylate aminotransferase 2"
"76","AHCYL2","adenosylhomocysteinase like 2"
"77","AHRR","aryl-hydrocarbon receptor repressor"
"78","AHSG","alpha 2-HS glycoprotein"
"79","AIM2","absent in melanoma 2"
"80","AK4","adenylate kinase 4"
"81","AKAP4","A-kinase anchoring protein 4"
"82","AKAP6","A-kinase anchoring protein 6"
"83","AKNAD1","AKNA domain containing 1"
"84","AKR1C2","aldo-keto reductase family 1 member C2"
"85","AKR1C4","aldo-keto reductase family 1 member C4"
"86","AKR1D1","aldo-keto reductase family 1 member D1"
"87","ALDH1A1","aldehyde dehydrogenase 1 family member A1"
"88","ALDH1A2","aldehyde dehydrogenase 1 family member A2"
"89","ALDH3A1","aldehyde dehydrogenase 3 family member A1"
"90","ALDH8A1","aldehyde dehydrogenase 8 family member A1"
"91","ALG1L2","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2"
"92","ALG8","ALG8 alpha-1,3-glucosyltransferase"
"93","ALLC","allantoicase"
"94","ALMS1P",NA
"95","ALOX12B","arachidonate 12-lipoxygenase, 12R type"
"96","ALOX5AP","arachidonate 5-lipoxygenase activating protein"
"97","ALS2CR11",NA
"98","ALS2CR8",NA
"99","ALX3","ALX homeobox 3"
"100","ALYREF","Aly/REF export factor"
"101","AMELX","amelogenin X-linked"
"102","AMER3","APC membrane recruitment protein 3"
"103","AMFR","autocrine motility factor receptor"
