sample	unit	fq1	fq2
	SRR4449839	SRR4449839_1.fastq.gz	SRR4449839_2.fastq.gz
	SRR4449840	SRR4449840_1.fastq.gz	SRR4449840_2.fastq.gz
	SRR4449841	SRR4449841_1.fastq.gz	SRR4449841_2.fastq.gz
	SRR4449842	SRR4449842_1.fastq.gz	SRR4449842_2.fastq.gz
	SRR4449843	SRR4449843_1.fastq.gz	SRR4449843_2.fastq.gz
	SRR4449844	SRR4449844_1.fastq.gz	SRR4449844_2.fastq.gz
	SRR4449845	SRR4449845_1.fastq.gz	SRR4449845_2.fastq.gz
	SRR4449846	SRR4449846_1.fastq.gz	SRR4449846_2.fastq.gz
	SRR4449847	SRR4449847_1.fastq.gz	SRR4449847_2.fastq.gz
	SRR4449848	SRR4449848_1.fastq.gz	SRR4449848_2.fastq.gz
	SRR4449849	SRR4449849_1.fastq.gz	SRR4449849_2.fastq.gz
	SRR4449850	SRR4449850_1.fastq.gz	SRR4449850_2.fastq.gz
	SRR4449851	SRR4449851_1.fastq.gz	SRR4449851_2.fastq.gz
	SRR4449852	SRR4449852_1.fastq.gz	SRR4449852_2.fastq.gz
	SRR4449853	SRR4449853_1.fastq.gz	SRR4449853_2.fastq.gz
	SRR4449854	SRR4449854_1.fastq.gz	SRR4449854_2.fastq.gz
	SRR4449855	SRR4449855_1.fastq.gz	SRR4449855_2.fastq.gz
	SRR4449856	SRR4449856_1.fastq.gz	SRR4449856_2.fastq.gz
	SRR4449857	SRR4449857_1.fastq.gz	SRR4449857_2.fastq.gz
	SRR4449858	SRR4449858_1.fastq.gz	SRR4449858_2.fastq.gz
	SRR4449859	SRR4449859_1.fastq.gz	SRR4449859_2.fastq.gz
	SRR4449860	SRR4449860_1.fastq.gz	SRR4449860_2.fastq.gz
	SRR4449861	SRR4449861_1.fastq.gz	SRR4449861_2.fastq.gz
	SRR4449862	SRR4449862_1.fastq.gz	SRR4449862_2.fastq.gz
