gene	order	color	sort1	group1
chr1;68090;70090;uc001aal.1;+;OR4F5	7169	#00FF92FF	4	4
chr1;761970;763970;uc001abp.2;+;LOC643837	7170	#00FF92FF	4	4
chr1;811182;813182;uc001abt.4;-;FAM41C	7171	#00FF92FF	4	4
chr1;860120;862120;uc001abw.1;+;SAMD11	7172	#00FF92FF	4	4
chr1;893679;895679;uc001abz.4;-;NOC2L	7173	#00FF92FF	4	4
chr1;894966;896966;uc001aca.2;+;KLHL17	7174	#00FF92FF	4	4
chr1;900876;902876;uc001acd.3;+;PLEKHN1	7175	#00FF92FF	4	4
chr1;916473;918473;uc001ach.2;-;C1orf170	2138	#FFDB00FF	2	2
chr1;934552;936552;uc001aci.2;-;HES4	7176	#00FF92FF	4	4
chr1;947846;949846;uc001acj.4;+;ISG15	19238	#FF00DBFF	7	7
chr1;954502;956502;uc001ack.2;+;AGRN	7177	#00FF92FF	4	4
chr1;1050736;1052736;uc001acu.2;-;C1orf159	7178	#00FF92FF	4	4
chr1;1071396;1073396;uc001acv.3;+;LOC254099	2139	#FFDB00FF	2	2
chr1;1101483;1103483;uc001acw.2;+;MIR200B	7179	#00FF92FF	4	4
chr1;1108285;1110285;uc001acy.2;+;TTLL10	16921	#4900FFFF	6	6
chr1;1141089;1143089;uc001add.3;-;TNFRSF18	7180	#00FF92FF	4	4
chr1;1148548;1150548;uc001ade.3;-;TNFRSF4	14353	#0092FFFF	5	5
chr1;1166447;1168447;uc001adh.4;-;SDF4	7181	#00FF92FF	4	4
chr1;1166628;1168628;uc001adk.3;+;B3GALT6	7182	#00FF92FF	4	4
chr1;1181102;1183102;uc001adl.2;-;FAM132A	16922	#4900FFFF	6	6
chr1;1208234;1210234;uc001ado.3;-;UBE2J2	4351	#49FF00FF	3	3
chr1;1214815;1216815;uc001adt.1;+;SCNN1D	16923	#4900FFFF	6	6
chr1;1242269;1244269;uc001aeb.2;-;ACAP3	7183	#00FF92FF	4	4
chr1;1242993;1244993;uc001aed.3;+;PUSL1	4352	#49FF00FF	3	3
chr1;1259067;1261067;uc001aee.2;-;CPSF3L	2140	#FFDB00FF	2	2
chr1;1259142;1261142;uc001aeo.3;+;GLTPD1	7184	#00FF92FF	4	4
chr1;1283492;1285492;uc001aer.4;-;DVL1	7185	#00FF92FF	4	4
chr1;1292915;1294915;uc001aew.3;-;MXRA8	7186	#00FF92FF	4	4
chr1;1333718;1335718;uc001afi.2;-;CCNL2	7187	#00FF92FF	4	4
chr1;1333909;1335909;uc001afm.3;+;LOC148413	7188	#00FF92FF	4	4
chr1;1341693;1343693;uc001afo.4;-;MRPL20	7189	#00FF92FF	4	4
chr1;1369902;1371902;uc001afs.3;+;VWA1	7190	#00FF92FF	4	4
chr1;1384068;1386068;uc001aft.2;+;ATAD3C	14354	#0092FFFF	5	5
chr1;1406163;1408163;uc001afv.3;+;ATAD3B	2141	#FFDB00FF	2	2
chr1;1446522;1448522;uc001afz.2;+;ATAD3A	7191	#00FF92FF	4	4
chr1;1509262;1511262;uc001agd.3;-;SSU72	7192	#00FF92FF	4	4
chr1;1549794;1551794;uc001agg.3;+;MIB2	4353	#49FF00FF	3	3
chr1;1566559;1568559;uc001agp.3;+;MMP23B	7193	#00FF92FF	4	4
chr1;1654775;1656775;uc001agv.1;-;CDK11B	7194	#00FF92FF	4	4
chr1;1623243;1625243;uc001ahg.4;-;SLC35E2B	7195	#00FF92FF	4	4
chr1;1630377;1632377;uc001ahi.1;+;MMP23A	7196	#00FF92FF	4	4
chr1;1676438;1678438;uc001aia.2;-;SLC35E2	7197	#00FF92FF	4	4
chr1;1821526;1823526;uc001aif.3;-;GNB1	14355	#0092FFFF	5	5
chr1;1845265;1847265;uc001aih.1;+;CALML6	14356	#0092FFFF	5	5
chr1;1849740;1851740;uc001aij.2;-;TMEM52	4354	#49FF00FF	3	3
chr1;1934276;1936276;uc001aim.1;-;KIAA1751	7198	#00FF92FF	4	4
chr1;1949767;1951767;uc001aip.2;+;GABRD	7199	#00FF92FF	4	4
chr1;1980908;1982908;uc001aiq.3;+;PRKCZ	7200	#00FF92FF	4	4
chr1;2159133;2161133;uc001aja.4;+;SKI	7201	#00FF92FF	4	4
chr1;2321993;2323993;uc001ajb.1;-;MORN1	7202	#00FF92FF	4	4
chr1;2283100;2285100;uc001ajc.3;-;LOC100129534	14357	#0092FFFF	5	5
chr1;2322213;2324213;uc001aje.2;+;RER1	4355	#49FF00FF	3	3
chr1;2343010;2345010;uc001ajg.3;-;PEX10	7203	#00FF92FF	4	4
chr1;2406753;2408753;uc001aji.1;+;PLCH2	7204	#00FF92FF	4	4
chr1;2457035;2459035;uc001ajm.1;-;PANK4	1	#FF0000FF	1	1
chr1;2460684;2462684;uc001ajn.3;-;HES5	7205	#00FF92FF	4	4
chr1;2486804;2488804;uc001ajr.3;+;TNFRSF14	7206	#00FF92FF	4	4
chr1;2517188;2519188;uc001ajv.2;+;FAM213B	7207	#00FF92FF	4	4
chr1;2563481;2565481;uc001ajy.2;-;MMEL1	16924	#4900FFFF	6	6
chr1;2937045;2939045;uc001ajz.3;+;ACTRT2	2142	#FFDB00FF	2	2
chr1;2984741;2986741;uc001akf.3;+;PRDM16	7208	#00FF92FF	4	4
chr1;3370146;3372146;uc001akg.4;+;ARHGEF16	4356	#49FF00FF	3	3
chr1;3527059;3529059;uc001akl.3;-;MEGF6	2143	#FFDB00FF	2	2
chr1;3540555;3542555;uc001akm.3;+;TPRG1L	4357	#49FF00FF	3	3
chr1;3565671;3567671;uc001ako.3;-;WRAP73	7209	#00FF92FF	4	4
chr1;3568128;3570128;uc001akp.3;+;TP73	7210	#00FF92FF	4	4
chr1;3667964;3669964;uc001akv.2;+;CCDC27	16925	#4900FFFF	6	6
chr1;3688351;3690351;uc001akw.4;+;SMIM1	19239	#FF00DBFF	7	7
chr1;3712068;3714068;uc001akx.1;-;LRRC47	4358	#49FF00FF	3	3
chr1;3772797;3774797;uc001aky.2;-;CEP104	4359	#49FF00FF	3	3
chr1;3772844;3774844;uc001alc.3;+;DFFB	19240	#FF00DBFF	7	7
chr1;3815857;3817857;uc001alf.3;-;C1orf174	4360	#49FF00FF	3	3
chr1;3815967;3817967;uc001alg.3;+;LOC100133612	19241	#FF00DBFF	7	7
chr1;3999671;4001671;uc001ali.2;+;LOC728716	16926	#4900FFFF	6	6
chr1;4471110;4473110;uc001alj.2;+;LOC284661	16927	#4900FFFF	6	6
chr1;4714104;4716104;uc001aln.3;+;AJAP1	7211	#00FF92FF	4	4
chr1;6051533;6053533;uc001alq.2;-;NPHP4	19242	#FF00DBFF	7	7
chr1;6104980;6106980;uc001aly.2;+;KCNAB2	7212	#00FF92FF	4	4
chr1;6239194;6241194;uc001amb.2;-;CHD5	7213	#00FF92FF	4	4
chr1;6258679;6260679;uc001amd.3;-;RPL22	7214	#00FF92FF	4	4
chr1;6265188;6267188;uc001amg.3;+;RNF207	7215	#00FF92FF	4	4
chr1;6295044;6297044;uc001amk.3;-;ICMT	7216	#00FF92FF	4	4
chr1;6320035;6322035;uc001amp.2;-;GPR153	7217	#00FF92FF	4	4
chr1;6452826;6454826;uc001amt.3;-;ACOT7	4361	#49FF00FF	3	3
chr1;6478979;6480979;uc001amx.3;-;HES2	7218	#00FF92FF	4	4
chr1;6483847;6485847;uc001amy.3;+;ESPN	2144	#FFDB00FF	2	2
chr1;6525255;6527255;uc001anh.3;-;TNFRSF25	14358	#0092FFFF	5	5
chr1;6613658;6615658;uc001ans.3;-;NOL9	19243	#FF00DBFF	7	7
chr1;6614337;6616337;uc001ant.3;+;TAS1R1	19244	#FF00DBFF	7	7
chr1;6639062;6641062;uc001anx.3;+;ZBTB48	4362	#49FF00FF	3	3
chr1;6661929;6663929;uc001aoa.3;-;KLHL21	4363	#49FF00FF	3	3
chr1;6672755;6674755;uc001aob.4;+;PHF13	7219	#00FF92FF	4	4
chr1;6684209;6686209;uc001aod.3;+;THAP3	4364	#49FF00FF	3	3
chr1;6760966;6762966;uc001aof.2;-;DNAJC11	7220	#00FF92FF	4	4
chr1;6844383;6846383;uc001aoi.3;+;CAMTA1	7221	#00FF92FF	4	4
chr1;7830328;7832328;uc001aol.3;+;VAMP3	7222	#00FF92FF	4	4
chr1;7843713;7845713;uc001aoo.3;+;PER3	7223	#00FF92FF	4	4
chr1;7912565;7914565;uc001aos.3;-;UTS2	2145	#FFDB00FF	2	2
chr1;8002225;8004225;uc001aot.3;-;TNFRSF9	16928	#4900FFFF	6	6
chr1;8020713;8022713;uc001aox.4;+;PARK7	7224	#00FF92FF	4	4
chr1;8085393;8087393;uc001aoz.3;-;ERRFI1	7225	#00FF92FF	4	4
chr1;8383389;8385389;uc001apb.3;+;SLC45A1	7226	#00FF92FF	4	4
chr1;8876699;8878699;uc001apf.3;-;RERE	19245	#FF00DBFF	7	7
chr1;8938151;8940151;uc001apj.2;-;ENO1	19246	#FF00DBFF	7	7
chr1;9128887;9130887;uc001apo.3;-;SLC2A5	14359	#0092FFFF	5	5
chr1;9188229;9190229;uc001apq.1;-;GPR157	2	#FF0000FF	1	1
chr1;9293862;9295862;uc001apt.3;+;H6PD	7227	#00FF92FF	4	4
