gene	order	color	sort1	group1
chr1;68090;70090;uc001aal.1;+;OR4F5	12194	#4900FFFF	6	6
chr1;761970;763970;uc001abp.2;+;LOC643837	9848	#0092FFFF	5	5
chr1;811182;813182;uc001abt.4;-;FAM41C	12195	#4900FFFF	6	6
chr1;860120;862120;uc001abw.1;+;SAMD11	1	#FF0000FF	1	1
chr1;893679;895679;uc001abz.4;-;NOC2L	9849	#0092FFFF	5	5
chr1;894966;896966;uc001aca.2;+;KLHL17	4774	#49FF00FF	3	3
chr1;900876;902876;uc001acd.3;+;PLEKHN1	4775	#49FF00FF	3	3
chr1;916473;918473;uc001ach.2;-;C1orf170	12196	#4900FFFF	6	6
chr1;934552;936552;uc001aci.2;-;HES4	19101	#FF00DBFF	7	7
chr1;947846;949846;uc001acj.4;+;ISG15	4776	#49FF00FF	3	3
chr1;954502;956502;uc001ack.2;+;AGRN	12197	#4900FFFF	6	6
chr1;1050736;1052736;uc001acu.2;-;C1orf159	12198	#4900FFFF	6	6
chr1;1071396;1073396;uc001acv.3;+;LOC254099	12199	#4900FFFF	6	6
chr1;1101483;1103483;uc001acw.2;+;MIR200B	12200	#4900FFFF	6	6
chr1;1108285;1110285;uc001acy.2;+;TTLL10	19102	#FF00DBFF	7	7
chr1;1141089;1143089;uc001add.3;-;TNFRSF18	12201	#4900FFFF	6	6
chr1;1148548;1150548;uc001ade.3;-;TNFRSF4	4777	#49FF00FF	3	3
chr1;1166447;1168447;uc001adh.4;-;SDF4	12202	#4900FFFF	6	6
chr1;1166628;1168628;uc001adk.3;+;B3GALT6	12203	#4900FFFF	6	6
chr1;1181102;1183102;uc001adl.2;-;FAM132A	12204	#4900FFFF	6	6
chr1;1208234;1210234;uc001ado.3;-;UBE2J2	19103	#FF00DBFF	7	7
chr1;1214815;1216815;uc001adt.1;+;SCNN1D	12205	#4900FFFF	6	6
chr1;1242269;1244269;uc001aeb.2;-;ACAP3	19104	#FF00DBFF	7	7
chr1;1242993;1244993;uc001aed.3;+;PUSL1	12206	#4900FFFF	6	6
chr1;1259067;1261067;uc001aee.2;-;CPSF3L	19105	#FF00DBFF	7	7
chr1;1259142;1261142;uc001aeo.3;+;GLTPD1	12207	#4900FFFF	6	6
chr1;1283492;1285492;uc001aer.4;-;DVL1	12208	#4900FFFF	6	6
chr1;1292915;1294915;uc001aew.3;-;MXRA8	19106	#FF00DBFF	7	7
chr1;1333718;1335718;uc001afi.2;-;CCNL2	9850	#0092FFFF	5	5
chr1;1333909;1335909;uc001afm.3;+;LOC148413	7456	#00FF92FF	4	4
chr1;1341693;1343693;uc001afo.4;-;MRPL20	7457	#00FF92FF	4	4
chr1;1369902;1371902;uc001afs.3;+;VWA1	9851	#0092FFFF	5	5
chr1;1384068;1386068;uc001aft.2;+;ATAD3C	2256	#FFDB00FF	2	2
chr1;1406163;1408163;uc001afv.3;+;ATAD3B	12209	#4900FFFF	6	6
chr1;1446522;1448522;uc001afz.2;+;ATAD3A	12210	#4900FFFF	6	6
chr1;1509262;1511262;uc001agd.3;-;SSU72	12211	#4900FFFF	6	6
chr1;1549794;1551794;uc001agg.3;+;MIB2	4778	#49FF00FF	3	3
chr1;1566559;1568559;uc001agp.3;+;MMP23B	19107	#FF00DBFF	7	7
chr1;1654775;1656775;uc001agv.1;-;CDK11B	19108	#FF00DBFF	7	7
chr1;1623243;1625243;uc001ahg.4;-;SLC35E2B	12212	#4900FFFF	6	6
chr1;1630377;1632377;uc001ahi.1;+;MMP23A	12213	#4900FFFF	6	6
chr1;1676438;1678438;uc001aia.2;-;SLC35E2	12214	#4900FFFF	6	6
chr1;1821526;1823526;uc001aif.3;-;GNB1	12215	#4900FFFF	6	6
chr1;1845265;1847265;uc001aih.1;+;CALML6	9852	#0092FFFF	5	5
chr1;1849740;1851740;uc001aij.2;-;TMEM52	9853	#0092FFFF	5	5
chr1;1934276;1936276;uc001aim.1;-;KIAA1751	19109	#FF00DBFF	7	7
chr1;1949767;1951767;uc001aip.2;+;GABRD	12216	#4900FFFF	6	6
chr1;1980908;1982908;uc001aiq.3;+;PRKCZ	19110	#FF00DBFF	7	7
chr1;2159133;2161133;uc001aja.4;+;SKI	12217	#4900FFFF	6	6
chr1;2321993;2323993;uc001ajb.1;-;MORN1	4779	#49FF00FF	3	3
chr1;2283100;2285100;uc001ajc.3;-;LOC100129534	4780	#49FF00FF	3	3
chr1;2322213;2324213;uc001aje.2;+;RER1	9854	#0092FFFF	5	5
chr1;2343010;2345010;uc001ajg.3;-;PEX10	12218	#4900FFFF	6	6
chr1;2406753;2408753;uc001aji.1;+;PLCH2	2	#FF0000FF	1	1
chr1;2457035;2459035;uc001ajm.1;-;PANK4	4781	#49FF00FF	3	3
chr1;2460684;2462684;uc001ajn.3;-;HES5	12219	#4900FFFF	6	6
chr1;2486804;2488804;uc001ajr.3;+;TNFRSF14	7458	#00FF92FF	4	4
chr1;2517188;2519188;uc001ajv.2;+;FAM213B	4782	#49FF00FF	3	3
chr1;2563481;2565481;uc001ajy.2;-;MMEL1	12220	#4900FFFF	6	6
chr1;2937045;2939045;uc001ajz.3;+;ACTRT2	12221	#4900FFFF	6	6
chr1;2984741;2986741;uc001akf.3;+;PRDM16	12222	#4900FFFF	6	6
chr1;3370146;3372146;uc001akg.4;+;ARHGEF16	19111	#FF00DBFF	7	7
chr1;3527059;3529059;uc001akl.3;-;MEGF6	12223	#4900FFFF	6	6
chr1;3540555;3542555;uc001akm.3;+;TPRG1L	19112	#FF00DBFF	7	7
chr1;3565671;3567671;uc001ako.3;-;WRAP73	4783	#49FF00FF	3	3
chr1;3568128;3570128;uc001akp.3;+;TP73	12224	#4900FFFF	6	6
chr1;3667964;3669964;uc001akv.2;+;CCDC27	12225	#4900FFFF	6	6
chr1;3688351;3690351;uc001akw.4;+;SMIM1	7459	#00FF92FF	4	4
chr1;3712068;3714068;uc001akx.1;-;LRRC47	4784	#49FF00FF	3	3
chr1;3772797;3774797;uc001aky.2;-;CEP104	9855	#0092FFFF	5	5
chr1;3772844;3774844;uc001alc.3;+;DFFB	9856	#0092FFFF	5	5
chr1;3815857;3817857;uc001alf.3;-;C1orf174	19113	#FF00DBFF	7	7
chr1;3815967;3817967;uc001alg.3;+;LOC100133612	3	#FF0000FF	1	1
chr1;3999671;4001671;uc001ali.2;+;LOC728716	4785	#49FF00FF	3	3
chr1;4471110;4473110;uc001alj.2;+;LOC284661	7460	#00FF92FF	4	4
chr1;4714104;4716104;uc001aln.3;+;AJAP1	12226	#4900FFFF	6	6
chr1;6051533;6053533;uc001alq.2;-;NPHP4	12227	#4900FFFF	6	6
chr1;6104980;6106980;uc001aly.2;+;KCNAB2	12228	#4900FFFF	6	6
chr1;6239194;6241194;uc001amb.2;-;CHD5	12229	#4900FFFF	6	6
chr1;6258679;6260679;uc001amd.3;-;RPL22	19114	#FF00DBFF	7	7
chr1;6265188;6267188;uc001amg.3;+;RNF207	9857	#0092FFFF	5	5
chr1;6295044;6297044;uc001amk.3;-;ICMT	4786	#49FF00FF	3	3
chr1;6320035;6322035;uc001amp.2;-;GPR153	12230	#4900FFFF	6	6
chr1;6452826;6454826;uc001amt.3;-;ACOT7	12231	#4900FFFF	6	6
chr1;6478979;6480979;uc001amx.3;-;HES2	4787	#49FF00FF	3	3
chr1;6483847;6485847;uc001amy.3;+;ESPN	4788	#49FF00FF	3	3
chr1;6525255;6527255;uc001anh.3;-;TNFRSF25	4789	#49FF00FF	3	3
chr1;6613658;6615658;uc001ans.3;-;NOL9	12232	#4900FFFF	6	6
chr1;6614337;6616337;uc001ant.3;+;TAS1R1	4	#FF0000FF	1	1
chr1;6639062;6641062;uc001anx.3;+;ZBTB48	4790	#49FF00FF	3	3
chr1;6661929;6663929;uc001aoa.3;-;KLHL21	12233	#4900FFFF	6	6
chr1;6672755;6674755;uc001aob.4;+;PHF13	9858	#0092FFFF	5	5
chr1;6684209;6686209;uc001aod.3;+;THAP3	2257	#FFDB00FF	2	2
chr1;6760966;6762966;uc001aof.2;-;DNAJC11	5	#FF0000FF	1	1
chr1;6844383;6846383;uc001aoi.3;+;CAMTA1	9859	#0092FFFF	5	5
chr1;7830328;7832328;uc001aol.3;+;VAMP3	4791	#49FF00FF	3	3
chr1;7843713;7845713;uc001aoo.3;+;PER3	7461	#00FF92FF	4	4
chr1;7912565;7914565;uc001aos.3;-;UTS2	12234	#4900FFFF	6	6
chr1;8002225;8004225;uc001aot.3;-;TNFRSF9	12235	#4900FFFF	6	6
chr1;8020713;8022713;uc001aox.4;+;PARK7	9860	#0092FFFF	5	5
chr1;8085393;8087393;uc001aoz.3;-;ERRFI1	19115	#FF00DBFF	7	7
chr1;8383389;8385389;uc001apb.3;+;SLC45A1	19116	#FF00DBFF	7	7
chr1;8876699;8878699;uc001apf.3;-;RERE	12236	#4900FFFF	6	6
chr1;8938151;8940151;uc001apj.2;-;ENO1	19117	#FF00DBFF	7	7
chr1;9128887;9130887;uc001apo.3;-;SLC2A5	4792	#49FF00FF	3	3
chr1;9188229;9190229;uc001apq.1;-;GPR157	19118	#FF00DBFF	7	7
chr1;9293862;9295862;uc001apt.3;+;H6PD	19119	#FF00DBFF	7	7
chr1;9598527;9600527;uc001apw.3;+;SLC25A33	9861	#0092FFFF	5	5
chr1;9710789;9712789;uc001aqb.4;+;PIK3CD	19120	#FF00DBFF	7	7
chr1;9713644;9715644;uc001aqc.4;-;C1orf200	12237	#4900FFFF	6	6
chr1;9883550;9885550;uc001aqh.3;-;CLSTN1	4793	#49FF00FF	3	3
chr1;9969316;9971316;uc001aql.1;-;CTNNBIP1	19121	#FF00DBFF	7	7
chr1;10001840;10003840;uc001aqm.3;-;LZIC	19122	#FF00DBFF	7	7
chr1;10002485;10004485;uc001aqp.3;+;NMNAT1	4794	#49FF00FF	3	3
chr1;10056254;10058254;uc001aqq.3;+;RBP7	4795	#49FF00FF	3	3
chr1;10092040;10094040;uc001aqs.4;+;UBE4B	6	#FF0000FF	1	1
chr1;10269763;10271763;uc001aqw.4;+;KIF1B	12238	#4900FFFF	6	6
chr1;10458084;10460084;uc001arc.3;+;PGD	19123	#FF00DBFF	7	7
chr1;10531613;10533613;uc001arj.3;-;DFFA	7	#FF0000FF	1	1
chr1;10534002;10536002;uc001arn.3;+;PEX14	8	#FF0000FF	1	1
chr1;10855733;10857733;uc001aro.4;-;CASZ1	12239	#4900FFFF	6	6
chr1;11071678;11073678;uc001art.3;+;TARDBP	2258	#FFDB00FF	2	2
chr1;11106296;11108296;uc001aru.3;-;MASP2	7462	#00FF92FF	4	4
chr1;11119091;11121091;uc001arz.1;-;SRM	12240	#4900FFFF	6	6
chr1;11158938;11160938;uc001asa.3;-;EXOSC10	7463	#00FF92FF	4	4
chr1;11321608;11323608;uc001asd.3;-;MTOR	19124	#FF00DBFF	7	7
chr1;11248345;11250345;uc001ase.4;+;ANGPTL7	12241	#4900FFFF	6	6
chr1;11332254;11334254;uc001asg.3;+;UBIAD1	7464	#00FF92FF	4	4
chr1;11538294;11540294;uc001ash.4;+;PTCHD2	12242	#4900FFFF	6	6
chr1;11713888;11715888;uc001asj.3;-;FBXO2	2259	#FFDB00FF	2	2
chr1;11713913;11715913;uc001asm.3;+;FBXO44	4796	#49FF00FF	3	3
chr1;11723149;11725149;uc001aso.3;+;FBXO6	12243	#4900FFFF	6	6
chr1;11750780;11752780;uc001asr.1;+;DRAXIN	7465	#00FF92FF	4	4
chr1;11795141;11797141;uc001asv.3;+;AGTRAP	2260	#FFDB00FF	2	2
chr1;11865160;11867160;uc001atc.2;-;MTHFR	7466	#00FF92FF	4	4
chr1;11865152;11867152;uc001ate.5;+;CLCN6	19125	#FF00DBFF	7	7
chr1;11906840;11908840;uc001ati.3;-;NPPA	9862	#0092FFFF	5	5
chr1;11917992;11919992;uc001atj.3;-;NPPB	9863	#0092FFFF	5	5
chr1;11985485;11987485;uc001atk.3;-;KIAA2013	4797	#49FF00FF	3	3
chr1;11993723;11995723;uc001atm.3;+;PLOD1	9	#FF0000FF	1	1
chr1;12078298;12080298;uc001ato.2;+;MIIP	2261	#FFDB00FF	2	2
chr1;12122433;12124433;uc001atq.3;+;TNFRSF8	9864	#0092FFFF	5	5
chr1;12226059;12228059;uc001att.3;+;TNFRSF1B	4798	#49FF00FF	3	3
chr1;12289112;12291112;uc001atv.3;+;VPS13D	12244	#4900FFFF	6	6
chr1;12566299;12568299;uc001atz.1;+;SNORA59B	12245	#4900FFFF	6	6
chr1;12676820;12678820;uc001auc.3;-;DHRS3	4799	#49FF00FF	3	3
chr1;12703565;12705565;uc001auf.3;+;AADACL4	12246	#4900FFFF	6	6
chr1;12805162;12807162;uc001auh.3;+;C1orf158	12247	#4900FFFF	6	6
chr1;12833983;12835983;uc001aui.3;+;PRAMEF12	19126	#FF00DBFF	7	7
chr1;12850545;12852545;uc001auj.2;+;PRAMEF1	7467	#00FF92FF	4	4
chr1;12915940;12917940;uc001aum.1;+;PRAMEF2	12248	#4900FFFF	6	6
chr1;12975449;12977449;uc001aup.3;+;PRAMEF8	12249	#4900FFFF	6	6
chr1;13330692;13332692;uc001aut.1;-;PRAMEF3	12250	#4900FFFF	6	6
chr1;13389765;13391765;uc001auv.3;-;PRAMEF8	12251	#4900FFFF	6	6
chr1;13494253;13496253;uc001aux.3;+;PRAMEF16	12252	#4900FFFF	6	6
chr1;13610550;13612550;uc001auy.2;-;PRAMEF8	12253	#4900FFFF	6	6
chr1;13839242;13841242;uc001avb.3;-;LRRC38	19127	#FF00DBFF	7	7
chr1;13909251;13911251;uc001avd.3;+;PDPN	10	#FF0000FF	1	1
chr1;14030349;14032349;uc001avi.3;+;PRDM2	9865	#0092FFFF	5	5
chr1;14924212;14926212;uc001avm.4;+;KAZN	12254	#4900FFFF	6	6
chr1;15479228;15481228;uc001avx.3;+;TMEM51	4800	#49FF00FF	3	3
chr1;15572767;15574767;uc001awb.2;+;FHAD1	4801	#49FF00FF	3	3
chr1;15735390;15737390;uc001awh.2;+;EFHD2	12255	#4900FFFF	6	6
chr1;15763937;15765937;uc001awi.1;+;CTRC	11	#FF0000FF	1	1
chr1;15782222;15784222;uc001awk.3;+;CELA2A	12256	#4900FFFF	6	6
chr1;15801595;15803595;uc001awl.3;+;CELA2B	12257	#4900FFFF	6	6
chr1;15849940;15851940;uc001awn.4;-;CASP9	9866	#0092FFFF	5	5
chr1;15852351;15854351;uc001aws.3;+;DNAJC16	19128	#FF00DBFF	7	7
chr1;15910605;15912605;uc001awv.2;-;AGMAT	12258	#4900FFFF	6	6
chr1;15942952;15944952;uc001awx.2;+;DDI2	12259	#4900FFFF	6	6
chr1;16061808;16063808;uc001axb.1;+;SLC25A34	2262	#FFDB00FF	2	2
chr1;16067986;16069986;uc001axc.4;+;TMEM82	12260	#4900FFFF	6	6
chr1;16084254;16086254;uc001axe.1;+;FBLIM1	19129	#FF00DBFF	7	7
chr1;16173642;16175642;uc001axj.2;-;FLJ37453	12261	#4900FFFF	6	6
chr1;16173358;16175358;uc001axk.1;+;SPEN	12262	#4900FFFF	6	6
chr1;16301627;16303627;uc001axl.4;-;ZBTB17	12263	#4900FFFF	6	6
chr1;16329730;16331730;uc001axn.3;+;C1orf64	12264	#4900FFFF	6	6
chr1;16344285;16346285;uc001axo.2;-;HSPB7	7468	#00FF92FF	4	4
chr1;16347485;16349485;uc001axu.3;+;CLCNKA	12265	#4900FFFF	6	6
chr1;16399127;16401127;uc001axz.4;-;FAM131C	12266	#4900FFFF	6	6
chr1;16481582;16483582;uc001aya.2;-;EPHA2	4802	#49FF00FF	3	3
chr1;16538104;16540104;uc001ayc.1;-;ARHGEF19	2263	#FFDB00FF	2	2
chr1;16562659;16564659;uc001ayd.3;-;RSG1	2264	#FFDB00FF	2	2
chr1;16677948;16679948;uc001ayg.3;-;FBXO42	12	#FF0000FF	1	1
chr1;16692524;16694524;uc001aym.5;+;SZRD1	13	#FF0000FF	1	1
chr1;16766166;16768166;uc001ayq.3;+;NECAP2	2265	#FFDB00FF	2	2
chr1;16939100;16941100;uc001ayw.4;-;NBPF1	2266	#FFDB00FF	2	2
chr1;17045652;17047652;uc001azn.1;-;ESPNP	9867	#0092FFFF	5	5
chr1;17247444;17249444;uc001azt.2;+;CROCC	4803	#49FF00FF	3	3
chr1;17306173;17308173;uc001azw.3;-;MFAP2	12267	#4900FFFF	6	6
chr1;17337423;17339423;uc001baa.2;-;ATP13A2	12268	#4900FFFF	6	6
chr1;17379665;17381665;uc001bae.3;-;SDHB	14	#FF0000FF	1	1
chr1;17444948;17446948;uc001baf.3;-;PADI2	19130	#FF00DBFF	7	7
chr1;17530620;17532620;uc001bah.1;+;PADI1	9868	#0092FFFF	5	5
chr1;17574592;17576592;uc001bai.3;+;PADI3	12269	#4900FFFF	6	6
chr1;17633689;17635689;uc001baj.2;+;PADI4	12270	#4900FFFF	6	6
chr1;17697740;17699740;uc001bak.1;+;PADI6	9869	#0092FFFF	5	5
chr1;17764059;17766059;uc001bal.3;-;RCC2	4804	#49FF00FF	3	3
chr1;17865329;17867329;uc001ban.3;+;ARHGEF10L	2267	#FFDB00FF	2	2
chr1;18080807;18082807;uc001bat.3;+;ACTL8	19131	#FF00DBFF	7	7
chr1;18433239;18435239;uc001bau.2;+;IGSF21	12271	#4900FFFF	6	6
chr1;18806423;18808423;uc001bax.3;+;KLHDC7A	4805	#49FF00FF	3	3
chr1;18956499;18958499;uc001bay.3;+;PAX7	12272	#4900FFFF	6	6
chr1;19185155;19187155;uc001bba.1;-;TAS1R2	9870	#0092FFFF	5	5
chr1;19281826;19283826;uc001bbd.2;-;IFFO2	12273	#4900FFFF	6	6
chr1;19535746;19537746;uc001bbi.3;-;UBR4	4806	#49FF00FF	3	3
chr1;19577053;19579053;uc001bbo.4;-;EMC1	15	#FF0000FF	1	1
chr1;19577074;19579074;uc001bbs.3;+;MRTO4	2268	#FFDB00FF	2	2
chr1;19614280;19616280;uc001bbv.1;-;AKR7A3	4807	#49FF00FF	3	3
chr1;19637640;19639640;uc001bbw.3;-;AKR7A2	19132	#FF00DBFF	7	7
chr1;19637739;19639739;uc001bby.3;+;PQLC2	7469	#00FF92FF	4	4
